season,game_type,team_id,team_full,gp,hits,hits_per60,blocked_shots,blocked_shots_per60,takeaways,takeaways_per60,giveaways,giveaways_per60,missed_shots,total_shot_attempts,shot_attempts_blocked,corsi_pct,empty_net_goals,toi_per_game_5v5
2022,2,18,Nashville Predators,82,2470,29.772,1160,13.9824,534,6.4368,731,8.8092,1017,NA,NA,0.496942,17,2826.26829
2022,2,9,Ottawa Senators,82,2417,29.196,1198,14.4684,541,6.534,773,9.3348,946,NA,NA,0.479045,14,2900.87804
2022,2,6,Boston Bruins,82,2205,26.6724,1018,12.312,528,6.3864,648,7.8372,933,NA,NA,0.545121,11,2875.42682
2022,2,14,Tampa Bay Lightning,82,2124,25.5456,1044,12.5568,549,6.6024,451,5.4216,1027,NA,NA,0.508447,11,2869.36585
2022,2,3,New York Rangers,82,2094,25.2756,1167,14.0832,622,7.506,703,8.4852,894,NA,NA,0.470147,16,2958.87804
2022,2,15,Washington Capitals,82,2068,24.8544,1150,13.8204,551,6.6204,606,7.2828,1010,NA,NA,0.505368,21,2917.60975
2022,2,13,Florida Panthers,82,2050,24.6744,995,11.9772,798,9.6048,904,10.8792,989,NA,NA,0.56335,19,2874.64634
2022,2,16,Chicago Blackhawks,82,2023,24.2928,1300,15.6096,596,7.1568,681,8.1756,770,NA,NA,0.460049,8,2941.04878
2022,2,2,New York Islanders,82,2018,24.3576,1235,14.9076,499,6.0228,816,9.8496,843,NA,NA,0.460371,10,2960.45121
2022,2,5,Pittsburgh Penguins,82,2010,24.1524,1094,13.1472,647,7.7724,640,7.6896,960,NA,NA,0.520516,22,2956.15853
2022,2,8,Montréal Canadiens,82,2004,24.1812,1184,14.2848,505,6.0912,975,11.7648,789,NA,NA,0.468959,11,2879.29268
2022,2,28,San Jose Sharks,82,1980,23.8752,1369,16.506,730,8.802,678,8.1756,904,NA,NA,0.455794,10,2957.67073
2022,2,52,Winnipeg Jets,82,1921,23.1552,1089,13.1256,568,6.8472,794,9.5688,993,NA,NA,0.494059,18,2922.46341
2022,2,23,Vancouver Canucks,82,1901,22.8852,1176,14.1552,555,6.678,561,6.7536,954,NA,NA,0.49847,15,2932.75609
2022,2,22,Edmonton Oilers,82,1853,22.3272,1018,12.2652,622,7.4916,805,9.6984,972,NA,NA,0.524727,21,2919.17073
2022,2,25,Dallas Stars,82,1850,22.2408,1170,14.0652,459,5.5152,795,9.5544,996,NA,NA,0.490262,13,2937.29268
2022,2,53,Arizona Coyotes,82,1847,22.2984,1149,13.8708,544,6.5664,748,9.0288,848,NA,NA,0.440337,10,2943.53658
2022,2,30,Minnesota Wild,82,1846,22.1652,1115,13.3884,488,5.8572,538,6.4584,920,NA,NA,0.510261,14,2824.95121
2022,2,4,Philadelphia Flyers,82,1839,22.2048,1234,14.9004,467,5.6376,635,7.6644,863,NA,NA,0.465974,6,2904.37804
2022,2,20,Calgary Flames,82,1836,22.1796,955,11.5344,585,7.0668,825,9.9648,1113,NA,NA,0.555614,22,2915.91463
2022,2,12,Carolina Hurricanes,82,1804,21.78,858,10.3572,673,8.1252,807,9.7416,1176,NA,NA,0.562124,19,2857.69512
2022,2,55,Seattle Kraken,82,1770,21.4524,1031,12.4956,578,7.0056,593,7.1856,936,NA,NA,0.506008,14,2958.2439
2022,2,21,Colorado Avalanche,82,1764,21.3048,1084,13.0896,594,7.1712,526,6.3504,946,NA,NA,0.528356,20,2855.9878
2022,2,10,Toronto Maple Leafs,82,1746,21.0816,972,11.736,673,8.1252,832,10.044,1069,NA,NA,0.53569,16,2945.89024
2022,2,24,Anaheim Ducks,82,1697,20.3544,1122,13.4568,499,5.9832,735,8.8164,931,NA,NA,0.47805,10,2957.12195
2022,2,54,Vegas Golden Knights,82,1680,20.2392,1310,15.7824,738,8.892,681,8.2044,993,NA,NA,0.525868,14,2990.36585
2022,2,26,Los Angeles Kings,82,1667,20.034,1091,13.1112,447,5.3712,560,6.7284,1064,NA,NA,0.541458,19,2924.52439
2022,2,19,St. Louis Blues,82,1656,20.0124,1004,12.132,612,7.3944,632,7.6356,831,NA,NA,0.470695,21,2922.28048
2022,2,29,Columbus Blue Jackets,82,1636,19.7424,1073,12.9456,580,6.9984,547,6.5988,977,NA,NA,0.477837,18,2937.78048
2022,2,17,Detroit Red Wings,82,1599,19.2564,1091,13.1364,457,5.5008,587,7.0668,779,NA,NA,0.461399,15,2946.69512
2022,2,1,New Jersey Devils,82,1561,18.81,1021,12.3048,639,7.7004,788,9.4932,1014,NA,NA,0.505619,9,2964.7439
2022,2,7,Buffalo Sabres,82,1245,15.0156,897,10.818,506,6.102,589,7.1028,827,NA,NA,0.484706,12,2974.12195
