season,game_type,player_id,player_name,last_name,team_abbrev,shoots_catches,gp,gs,wins,losses,ot_losses,ties,goals_against,gaa,saves,shots_against,sv_pct,shutouts,toi_sec,goals,assists,points,pim
2023,2,8476999,Linus Ullmark,Ullmark,BOS,L,49,48,40,6,1,NA,91,1.89438,1366,1457,0.93754,2,172932,1,0,1,2
2023,2,8480382,Alexandar Georgiev,Georgiev,COL,L,62,62,40,16,6,NA,156,2.5295,1749,1904,0.91859,5,222020,0,1,1,0
2023,2,8476945,Connor Hellebuyck,Hellebuyck,WPG,L,64,64,37,25,2,NA,157,2.49338,1807,1964,0.92006,4,226680,0,0,0,0
2023,2,8478048,Igor Shesterkin,Shesterkin,NYR,L,58,58,37,13,8,NA,144,2.47651,1575,1719,0.91623,3,209326,0,1,1,2
2023,2,8479979,Jake Oettinger,Oettinger,DAL,L,62,61,37,11,11,NA,144,2.37044,1633,1776,0.91948,5,218693,0,1,1,2
2023,2,8476883,Andrei Vasilevskiy,Vasilevskiy,TBL,L,60,60,34,22,4,NA,159,2.65264,1716,1875,0.9152,4,215785,0,2,2,0
2023,2,8477424,Juuse Saros,Saros,NSH,L,64,63,33,23,7,NA,171,2.69292,1928,2099,0.91853,2,228599,0,1,1,0
2023,2,8477970,Vitek Vanecek,Vanecek,NJD,L,52,48,33,11,4,NA,119,2.44892,1214,1333,0.91072,3,174934,0,3,3,2
2023,2,8478009,Ilya Sorokin,Sorokin,NYI,L,62,60,31,22,7,NA,140,2.34174,1699,1838,0.92437,6,215224,0,1,1,0
2023,2,8479973,Stuart Skinner,Skinner,EDM,L,50,48,29,14,5,NA,133,2.7488,1404,1536,0.91406,1,174185,0,2,2,0
2023,2,8474889,Martin Jones,Jones,SEA,L,48,42,27,13,3,NA,131,2.99354,1016,1145,0.88733,3,157539,0,0,0,0
2023,2,8476412,Jordan Binnington,Binnington,STL,L,61,60,27,27,6,NA,194,3.31053,1632,1826,0.89375,2,210963,0,2,2,29
2023,2,8478492,Ilya Samsonov,Samsonov,TOR,L,42,40,27,10,5,NA,96,2.3267,1088,1184,0.91891,4,148536,0,2,2,0
2023,2,8478024,Ville Husso,Husso,DET,L,56,56,26,22,7,NA,167,3.11157,1436,1603,0.89582,4,193214,0,0,0,0
2023,2,8470594,Marc-Andre Fleury,Fleury,MIN,L,46,45,24,16,4,NA,126,2.84822,1241,1367,0.90782,2,159257,0,1,1,2
