season,game_type,team_id,team_full,gp,wins,losses,ot_losses,ties,points,point_pct,wins_regulation,wins_regulation_ot,wins_shootout,goals_for,goals_against,gf_per_game,ga_per_game,shots_for_per_game,shots_against_per_game,pp_pct,pp_net_pct,pk_pct,pk_net_pct,fo_win_pct,shutouts
2025,2,52,Winnipeg Jets,82,56,22,4,NA,116,0.70731,43,54,2,275,190,3.35365,2.31707,28.21951,27.18292,0.28899,0.270642,0.79397,0.81407,0.493291,10
2025,2,15,Washington Capitals,82,51,22,9,NA,111,0.67682,43,49,2,286,229,3.4878,2.79268,27.62195,27.18292,0.235294,0.203619,0.820084,0.853556,0.501848,3
2025,2,54,Vegas Golden Knights,82,50,22,10,NA,110,0.67073,46,49,1,274,214,3.34146,2.60975,30.26829,26.10975,0.283422,0.267379,0.757397,0.792899,0.504107,6
2025,2,10,Toronto Maple Leafs,82,52,26,4,NA,108,0.65853,41,51,1,267,229,3.25609,2.79268,28.01219,29.32926,0.247706,0.215596,0.778724,0.804255,0.537442,5
2025,2,25,Dallas Stars,82,50,26,6,NA,106,0.64634,41,48,2,275,222,3.35365,2.70731,28.35365,29.04878,0.22,0.204,0.820176,0.855263,0.521353,4
2025,2,26,Los Angeles Kings,82,48,25,9,NA,105,0.64024,43,47,1,249,203,3.03658,2.4756,28.08536,25.5,0.178743,0.149758,0.814346,0.831223,0.506218,6
2025,2,21,Colorado Avalanche,82,49,29,4,NA,102,0.62195,40,45,4,273,231,3.32926,2.81707,29.89024,25.92682,0.247863,0.217948,0.798077,0.822115,0.470775,5
2025,2,14,Tampa Bay Lightning,82,47,27,8,NA,102,0.62195,41,45,2,292,216,3.56097,2.63414,28.54878,28.18292,0.25862,0.202586,0.815534,0.868932,0.500841,7
2025,2,22,Edmonton Oilers,82,48,29,5,NA,101,0.61585,36,48,0,259,235,3.15853,2.86585,31.9756,26.96341,0.237209,0.218604,0.781554,0.805825,0.509074,4
2025,2,12,Carolina Hurricanes,82,47,30,5,NA,99,0.60365,42,47,0,266,230,3.2439,2.80487,31.68292,24.92682,0.186991,0.166666,0.836066,0.877049,0.527134,5
2025,2,13,Florida Panthers,82,47,31,4,NA,98,0.59756,37,41,6,246,223,3,2.71951,31.57317,26.19512,0.235294,0.193277,0.807378,0.856557,0.493886,8
2025,2,9,Ottawa Senators,82,45,30,7,NA,97,0.59146,35,44,1,242,232,2.95121,2.82926,29.30487,28.60975,0.237918,0.226765,0.777293,0.816593,0.530777,10
2025,2,30,Minnesota Wild,82,45,30,7,NA,97,0.59146,33,42,3,225,236,2.7439,2.87804,27.59756,29.60975,0.208737,0.18932,0.724138,0.743842,0.46701,6
2025,2,19,St. Louis Blues,82,44,30,8,NA,96,0.58536,32,40,4,250,231,3.04878,2.81707,26.65853,27.26829,0.220512,0.194871,0.742106,0.763157,0.515607,4
2025,2,20,Calgary Flames,82,41,27,14,NA,96,0.58536,31,36,5,220,236,2.68292,2.87804,29.43902,28.92682,0.2103,0.184549,0.761062,0.792035,0.462442,5
2025,2,1,New Jersey Devils,82,42,33,7,NA,91,0.55487,36,40,2,240,220,2.92682,2.68292,28.09756,26.35365,0.282407,0.263888,0.826667,0.857777,0.498233,9
2025,2,8,Montréal Canadiens,82,40,31,11,NA,91,0.55487,30,38,2,243,261,2.96341,3.18292,25.56097,29.04878,0.200854,0.175213,0.809339,0.844357,0.507995,5
2025,2,23,Vancouver Canucks,82,38,30,14,NA,90,0.54878,28,35,3,233,251,2.84146,3.06097,25.53658,26.80487,0.225225,0.193693,0.825893,0.84375,0.488603,5
2025,2,59,Utah Hockey Club,82,38,31,13,NA,89,0.54268,30,37,1,240,247,2.92682,3.01219,28.54878,27.70731,0.241525,0.207627,0.792829,0.808764,0.515686,2
2025,2,29,Columbus Blue Jackets,82,40,33,9,NA,89,0.54268,30,34,6,267,267,3.25609,3.25609,29.04878,29.91463,0.194594,0.156756,0.769586,0.811059,0.477787,4
2025,2,17,Detroit Red Wings,82,39,35,8,NA,86,0.52439,30,36,3,235,259,2.86585,3.15853,27.42682,28.4878,0.270042,0.240506,0.701087,0.711956,0.489738,4
2025,2,3,New York Rangers,82,39,36,7,NA,85,0.51829,35,38,1,255,255,3.10975,3.10975,28.58536,29.89024,0.17619,0.142857,0.803348,0.878661,0.535706,9
2025,2,2,New York Islanders,82,35,35,12,NA,82,0.5,28,33,2,222,257,2.70731,3.13414,29.4878,28.7317,0.125603,0.086956,0.722223,0.772222,0.549049,4
2025,2,24,Anaheim Ducks,82,35,37,10,NA,80,0.4878,24,31,4,217,261,2.64634,3.18292,27.68292,32.29268,0.117647,0.090497,0.741936,0.754032,0.446417,1
2025,2,5,Pittsburgh Penguins,82,34,36,12,NA,80,0.4878,24,33,1,242,287,2.95121,3.5,28.34146,30.13414,0.257918,0.235294,0.777778,0.800925,0.527669,3
2025,2,7,Buffalo Sabres,82,36,39,7,NA,79,0.4817,29,32,4,265,287,3.2317,3.5,27.78048,28.87804,0.187772,0.152838,0.763486,0.804979,0.478296,3
2025,2,6,Boston Bruins,82,33,39,10,NA,76,0.46341,26,33,0,222,271,2.70731,3.30487,26.51219,28.60975,0.152173,0.095652,0.762712,0.788135,0.516932,7
2025,2,55,Seattle Kraken,82,35,41,6,NA,76,0.46341,28,33,2,245,262,2.9878,3.19512,27.35365,28.56097,0.189427,0.171806,0.772021,0.787564,0.485609,2
2025,2,4,Philadelphia Flyers,82,33,39,10,NA,76,0.46341,21,27,6,232,283,2.82926,3.45121,26.96341,26.95121,0.149532,0.102803,0.77612,0.796019,0.499223,3
2025,2,18,Nashville Predators,82,30,44,8,NA,68,0.41463,24,28,2,212,274,2.58536,3.34146,29.30487,28.56097,0.219298,0.197368,0.814815,0.81893,0.512694,4
2025,2,16,Chicago Blackhawks,82,25,46,11,NA,61,0.37195,20,23,2,224,292,2.7317,3.56097,24.45121,31.10975,0.248677,0.21164,0.792952,0.819383,0.44756,0
2025,2,28,San Jose Sharks,82,20,50,12,NA,52,0.31707,14,18,2,208,310,2.53658,3.78048,26.86585,31.78048,0.18584,0.150442,0.742188,0.761718,0.480641,1
