season,game_type,player_id,first_name,last_name,position,team_abbrev,gp,goals,assists,points,top_shot_speed_mph,avg_shot_speed_mph,shot_attempts_over100,shot_attempts_90_100,shot_attempts_80_90,shot_attempts_70_80,max_skate_speed_mph,bursts_over22,bursts_20_22,bursts_18_20,dist_total_mi,dist_per60_mi,dist_max_game_mi,oz_pct,nz_pct,dz_pct,oz_league_avg,dz_league_avg,oz_starts_pct,nz_starts_pct,dz_starts_pct
2022,2,8478402,Connor,McDavid,C,EDM,80,44,79,123,88.17,48.7994,0,0,30,72,24.144,89,484,967,304.69,10.356,5.0967,0.47941323,0.17508242,0.34550435,0.42152359,0.39747855,0.3691,0.3549,0.276
2022,2,8476346,Johnny,Gaudreau,L,CGY,82,40,75,115,86.89,53.8294,0,0,23,76,23.571,4,154,597,240.3636,9.4685,3.7305,0.44068726,0.180515,0.37879775,0.42152359,0.39747855,0.3665,0.3043,0.3292
2022,2,8476456,Jonathan,Huberdeau,L,FLA,80,30,85,115,85.67,49.8418,0,0,17,85,21.993,0,53,317,227.1197,8.7693,3.6288,0.45870449,0.18995593,0.35133958,0.42152359,0.39747855,0.4493,0.3556,0.195
2022,2,8477934,Leon,Draisaitl,C,EDM,80,55,55,110,91.1,55.2154,0,2,32,115,23.883,17,254,616,264.4511,8.8745,4.4249,0.45349683,0.17350153,0.37300164,0.42152359,0.39747855,0.358,0.3117,0.3304
2022,2,8478864,Kirill,Kaprizov,L,MIN,81,47,61,108,95.28,57.4585,0,3,58,118,22.772,2,110,638,252.4278,9.7857,4.092,0.4565399,0.18334286,0.36011724,0.42152359,0.39747855,0.3784,0.3694,0.2522
2022,2,8474564,Steven,Stamkos,C,TBL,81,42,64,106,96.58,61.3684,0,24,86,81,21.794,0,79,458,219.4133,8.7933,3.5904,0.45314897,0.17568799,0.37116304,0.42152359,0.39747855,0.3939,0.2645,0.3416
2022,2,8479318,Auston,Matthews,C,TOR,73,60,46,106,95.56,57.5247,0,11,69,137,22.165,2,106,609,251.5129,10.0306,4.4162,0.48310349,0.1789013,0.3379952,0.42152359,0.39747855,0.4117,0.3362,0.2521
2022,2,8479314,Matthew,Tkachuk,L,CGY,82,42,62,104,87.66,49.3783,0,0,15,79,20.886,0,11,196,216.4861,8.8497,3.3386,0.45126026,0.17967116,0.36906858,0.42152359,0.39747855,0.3649,0.3082,0.3268
2022,2,8476468,J.T.,Miller,C,VAN,80,32,67,99,99.41,58.6436,0,28,53,67,22.923,10,142,461,253.6536,9.026,3.9397,0.43530278,0.16404734,0.40064988,0.42152359,0.39747855,0.3785,0.2976,0.3239
2022,2,8478483,Mitch,Marner,R,TOR,72,35,62,97,86.34,53.3033,0,0,16,85,22.589,3,93,493,237.4533,9.4756,4.3139,0.4635099,0.17145614,0.36503395,0.42152359,0.39747855,0.4185,0.324,0.2575
