season,game_type,team_id,team_abbrev,gp,wins,losses,ot_losses,points,conference,division,dist_total_mi,dist_per60_mi,dist_max_game_mi,max_skate_speed_mph,bursts_over22,bursts_20_22,bursts_18_20,oz_pct,nz_pct,dz_pct,oz_league_avg,dz_league_avg,top_shot_speed_mph,avg_shot_speed_mph,shot_attempts_over100,shot_attempts_90_100,shot_attempts_80_90,shot_diff,shots_for,shots_against
2023,2,21,COL,82,51,24,7,109,Western,Central,3605.6057,8.8629,48.9797,24.021,206,2418,8447,0.4186022,0.1764327,0.4049651,0.4111976,0.4111976,100.72,58.3126,1,72,521,NA,NA,NA
2023,2,12,CAR,82,52,21,9,113,Eastern,Metropolitan,3710.2745,9.1327,49.7432,23.814,61,1524,7391,0.4693502,0.1827019,0.3479479,0.4111976,0.4111976,100.04,57.7413,1,92,585,NA,NA,NA
2023,2,25,DAL,82,47,21,14,108,Western,Central,3808.9663,9.3651,51.0445,23.003,71,1425,8046,0.4133166,0.1844544,0.402229,0.4111976,0.4111976,101.13,56.9838,3,59,443,NA,NA,NA
2023,2,7,BUF,82,42,33,7,91,Eastern,Atlantic,3745.2675,9.2093,48.6759,23.505,55,1545,8100,0.4084419,0.1791071,0.412451,0.4111976,0.4111976,101.69,58.4298,11,88,521,NA,NA,NA
2023,2,14,TBL,82,46,30,6,98,Eastern,Atlantic,3626.8959,8.9603,47.4123,24.263,75,1607,7089,0.4168635,0.1801409,0.4029956,0.4111976,0.4111976,101.32,58.3687,6,204,539,NA,NA,NA
2023,2,8,MTL,82,31,45,6,68,Eastern,Atlantic,3740.9083,9.2343,49.1241,24.204,121,1980,8321,0.3827618,0.1738929,0.4433453,0.4111976,0.4111976,101.35,57.8982,3,87,480,NA,NA,NA
2023,2,30,MIN,82,46,25,11,103,Western,Central,3689.5537,9.0584,50.0382,22.933,40,1235,7180,0.4161997,0.1776308,0.4061695,0.4111976,0.4111976,101.58,56.83,2,36,427,NA,NA,NA
2023,2,6,BOS,82,65,12,5,135,Eastern,Atlantic,3634.793,8.9911,49.5719,23.539,33,1374,7313,0.4202279,0.1835357,0.3962365,0.4111976,0.4111976,101.59,56.1212,3,76,483,NA,NA,NA
2023,2,9,OTT,82,39,35,8,86,Eastern,Atlantic,3713.1668,9.207,50.73,23.376,57,1526,7923,0.4086221,0.1750389,0.4163389,0.4111976,0.4111976,97.06,57.1748,0,62,558,NA,NA,NA
2023,2,5,PIT,82,40,31,11,91,Eastern,Metropolitan,3720.8694,9.1834,49.7882,24.323,110,1831,8200,0.4239168,0.1755065,0.4005767,0.4111976,0.4111976,99.27,55.8592,0,117,449,NA,NA,NA
2023,2,4,PHI,82,31,38,13,75,Eastern,Metropolitan,3716.906,9.1537,49.759,23.309,55,1430,7107,0.402718,0.1748619,0.42242,0.4111976,0.4111976,99.58,56.8729,0,53,449,NA,NA,NA
2023,2,15,WSH,82,35,37,10,80,Eastern,Metropolitan,3692.8832,9.0879,50.0532,24.207,76,1560,7497,0.4032864,0.1771399,0.4195737,0.4111976,0.4111976,99.36,56.9952,0,152,464,NA,NA,NA
2023,2,54,VGK,82,51,22,9,111,Western,Pacific,3724.347,9.1164,49.256,23.8,82,1774,7444,0.4163129,0.1817421,0.401945,0.4111976,0.4111976,100.31,57.3283,1,100,570,NA,NA,NA
2023,2,22,EDM,82,50,23,9,109,Western,Pacific,3635.592,8.9963,48.5814,24.156,180,2220,7986,0.424237,0.1740151,0.4017479,0.4111976,0.4111976,96.87,55.5898,0,120,476,NA,NA,NA
2023,2,17,DET,82,35,37,10,80,Eastern,Atlantic,3695.1575,9.1006,48.5474,23.388,41,1119,6580,0.4087039,0.1733048,0.4179913,0.4111976,0.4111976,101.68,57.6403,3,106,466,NA,NA,NA
2023,2,29,CBJ,82,25,48,9,59,Eastern,Metropolitan,3629.4739,8.9465,48.1563,23.376,87,1741,7818,0.3880608,0.1752218,0.4367174,0.4111976,0.4111976,101.56,57.3057,5,80,423,NA,NA,NA
2023,2,24,ANA,82,23,47,12,58,Western,Pacific,3584.2827,8.8387,48.0134,23.331,32,1192,6430,0.3729234,0.1754908,0.4515858,0.4111976,0.4111976,99.58,57.8054,0,42,399,NA,NA,NA
