season,game_type,player_id,team_abbrev,game_date,dist_all_mi,toi_all_sec,dist_even_mi,toi_even_sec,dist_pp_mi,toi_pp_sec,home
2024,2,8476453,TBL,2024-04-17,3.5128,1435,2.6972,1038,0.8156,397,1
2024,2,8476453,TBL,2024-04-15,3.7442,1440,3.089,1200,0.6552,240,1
2024,2,8476453,TBL,2024-04-13,3.6325,1339,3.4056,1219,0.2269,120,0
2024,2,8476453,TBL,2024-04-11,3.404,1363,2.5846,963,0.8194,400,1
2024,2,8476453,TBL,2024-04-09,2.9352,1107,2.511,927,0.4242,180,1
2024,2,8476453,TBL,2024-04-06,3.6614,1442,2.9115,1080,0.7499,362,0
2024,2,8476453,TBL,2024-04-04,3.2828,1238,2.3204,850,0.9625,388,0
2024,2,8476453,TBL,2024-04-03,2.7335,1044,2.1597,769,0.5683,271,0
2024,2,8476453,TBL,2024-04-01,3.4942,1403,2.7925,1055,0.701,348,1
2024,2,8476453,TBL,2024-03-30,3.4475,1218,3.2548,1105,0.1927,113,1
2024,2,8477492,COL,2024-04-18,2.9832,1059,2.3383,796,0.6449,263,1
2024,2,8477492,COL,2024-04-14,3.3178,1188,3.0193,1068,0.2985,120,0
2024,2,8477492,COL,2024-04-13,3.6757,1272,3.4039,1172,0.2718,100,1
2024,2,8477492,COL,2024-04-09,3.2545,1140,2.5169,823,0.7376,317,1
2024,2,8477492,COL,2024-04-07,3.9022,1497,3.5357,1323,0.3665,174,1
2024,2,8477492,COL,2024-04-05,3.5674,1349,2.8293,1001,0.7089,333,0
2024,2,8477492,COL,2024-04-04,3.4758,1227,3.2537,1131,0.1982,90,0
2024,2,8477492,COL,2024-04-01,4.0653,1582,3.1937,1146,0.8639,431,0
2024,2,8477492,COL,2024-03-30,3.4931,1399,2.3257,884,1.1674,515,1
2024,2,8477492,COL,2024-03-28,4.7335,1673,4.31,1486,0.4235,187,1
2024,2,8478402,EDM,2024-04-17,3.0703,1090,2.5679,900,0.4857,179,0
2024,2,8478402,EDM,2024-04-15,2.7876,945,2.7876,945,NA,NA,1
2024,2,8478402,EDM,2024-04-06,3.5783,1239,2.4097,807,1.1157,414,0
2024,2,8478402,EDM,2024-04-05,3.5958,1211,2.6211,873,0.9747,338,1
2024,2,8478402,EDM,2024-04-03,3.5336,1205,2.5224,852,0.9957,347,0
2024,2,8478402,EDM,2024-04-01,3.6644,1304,3.1415,1139,0.523,165,0
2024,2,8478402,EDM,2024-03-30,2.6816,949,2.0899,735,0.5664,203,1
2024,2,8478402,EDM,2024-03-28,3.7017,1294,3.427,1182,0.2747,112,1
2024,2,8478402,EDM,2024-03-26,3.6629,1238,2.8135,957,0.6481,221,0
2024,2,8478402,EDM,2024-03-24,3.8743,1377,3.3145,1147,0.5598,230,0
2024,2,8478550,NYR,2024-04-15,3.5663,1347,2.8447,1052,0.7216,295,1
2024,2,8478550,NYR,2024-04-13,3.012,1125,2.7947,1005,0.2173,120,1
2024,2,8478550,NYR,2024-04-11,2.6817,1082,2.1806,835,0.5011,247,1
2024,2,8478550,NYR,2024-04-09,3.1303,1299,2.6075,1063,0.5228,236,0
2024,2,8478550,NYR,2024-04-07,3.0295,1191,2.7442,1041,0.2852,150,1
2024,2,8478550,NYR,2024-04-05,2.9304,1155,2.4204,907,0.51,248,0
2024,2,8478550,NYR,2024-04-03,3.4969,1342,2.7814,1064,0.7154,277,1
2024,2,8478550,NYR,2024-04-01,3.5596,1382,2.987,1116,0.5726,266,1
2024,2,8478550,NYR,2024-03-30,2.7805,993,2.7805,993,NA,NA,0
