season,game_type,player_id,team_abbrev,zone,sog,goals,sh_pct
2026,2,8478402,EDM,Behind the Net,11,0,0
2026,2,8478402,EDM,Beyond Red Line,1,0,0
2026,2,8478402,EDM,Center Point,4,0,0
2026,2,8478402,EDM,Crease,23,9,0.3913
2026,2,8478402,EDM,High Slot,27,1,0.037
2026,2,8478402,EDM,L Circle,36,6,0.1667
2026,2,8478402,EDM,L Corner,1,0,0
2026,2,8478402,EDM,L Net Side,34,5,0.1471
2026,2,8478402,EDM,L Point,3,1,0.3333
2026,2,8478402,EDM,Low Slot,97,17,0.1753
2026,2,8478402,EDM,Offensive Neutral Zone,3,2,0.6667
2026,2,8478402,EDM,Outside L,15,2,0.1333
2026,2,8478402,EDM,Outside R,9,0,0
2026,2,8478402,EDM,R Circle,29,2,0.069
2026,2,8478402,EDM,R Corner,0,0,0
2026,2,8478402,EDM,R Net Side,12,3,0.25
2026,2,8478402,EDM,R Point,1,0,0
2026,2,8476453,TBL,Behind the Net,2,0,0
2026,2,8476453,TBL,Beyond Red Line,1,0,0
2026,2,8476453,TBL,Center Point,7,0,0
2026,2,8476453,TBL,Crease,5,2,0.4
2026,2,8476453,TBL,High Slot,25,2,0.08
2026,2,8476453,TBL,L Circle,16,2,0.125
2026,2,8476453,TBL,L Corner,2,0,0
2026,2,8476453,TBL,L Net Side,6,0,0
2026,2,8476453,TBL,L Point,9,2,0.2222
2026,2,8476453,TBL,Low Slot,40,16,0.4
2026,2,8476453,TBL,Offensive Neutral Zone,2,0,0
2026,2,8476453,TBL,Outside L,6,0,0
2026,2,8476453,TBL,Outside R,40,7,0.175
2026,2,8476453,TBL,R Circle,37,8,0.2162
2026,2,8476453,TBL,R Corner,0,0,0
2026,2,8476453,TBL,R Net Side,11,4,0.3636
2026,2,8476453,TBL,R Point,22,1,0.0455
2026,2,8477492,COL,Behind the Net,3,0,0
2026,2,8477492,COL,Beyond Red Line,3,1,0.3333
2026,2,8477492,COL,Center Point,16,4,0.25
2026,2,8477492,COL,Crease,11,3,0.2727
2026,2,8477492,COL,High Slot,42,8,0.1905
2026,2,8477492,COL,L Circle,77,10,0.1299
2026,2,8477492,COL,L Corner,1,0,0
2026,2,8477492,COL,L Net Side,19,3,0.1579
2026,2,8477492,COL,L Point,11,2,0.1818
2026,2,8477492,COL,Low Slot,72,16,0.2222
2026,2,8477492,COL,Offensive Neutral Zone,5,0,0
2026,2,8477492,COL,Outside L,38,2,0.0526
2026,2,8477492,COL,Outside R,12,1,0.0833
2026,2,8477492,COL,R Circle,30,2,0.0667
2026,2,8477492,COL,R Corner,0,0,0
2026,2,8477492,COL,R Net Side,5,1,0.2
2026,2,8477492,COL,R Point,5,0,0
2026,2,8480018,MTL,Behind the Net,2,0,0
2026,2,8480018,MTL,Beyond Red Line,3,1,0.3333
2026,2,8480018,MTL,Center Point,5,0,0
2026,2,8480018,MTL,Crease,6,3,0.5
2026,2,8480018,MTL,High Slot,20,3,0.15
2026,2,8480018,MTL,L Circle,29,3,0.1034
2026,2,8480018,MTL,L Corner,1,0,0
2026,2,8480018,MTL,L Net Side,8,3,0.375
2026,2,8480018,MTL,L Point,3,0,0
2026,2,8480018,MTL,Low Slot,46,7,0.1522
2026,2,8480018,MTL,Offensive Neutral Zone,3,1,0.3333
2026,2,8480018,MTL,Outside L,18,5,0.2778
2026,2,8480018,MTL,Outside R,14,0,0
2026,2,8480018,MTL,R Circle,17,3,0.1765
2026,2,8480018,MTL,R Corner,2,0,0
2026,2,8480018,MTL,R Net Side,3,0,0
2026,2,8480018,MTL,R Point,3,0,0
2026,2,8477956,BOS,Behind the Net,3,1,0.3333
2026,2,8477956,BOS,Beyond Red Line,3,0,0
2026,2,8477956,BOS,Center Point,14,2,0.1429
2026,2,8477956,BOS,Crease,8,1,0.125
2026,2,8477956,BOS,High Slot,29,2,0.069
2026,2,8477956,BOS,L Circle,29,4,0.1379
2026,2,8477956,BOS,L Corner,0,0,0
2026,2,8477956,BOS,L Net Side,13,1,0.0769
2026,2,8477956,BOS,L Point,15,1,0.0667
2026,2,8477956,BOS,Low Slot,49,9,0.1837
