season,game_type,team_id,team_abbrev,zone,goals,sog,sh_pct
2026,2,21,COL,Behind the Net,1,15,0.0667
2026,2,21,COL,Beyond Red Line,6,64,0.0938
2026,2,21,COL,Center Point,20,287,0.0697
2026,2,21,COL,Crease,17,68,0.25
2026,2,21,COL,High Slot,42,303,0.1386
2026,2,21,COL,L Circle,32,291,0.11
2026,2,21,COL,L Corner,0,3,0
2026,2,21,COL,L Net Side,10,64,0.1563
2026,2,21,COL,L Point,5,174,0.0287
2026,2,21,COL,Low Slot,107,636,0.1682
2026,2,21,COL,Offensive Neutral Zone,2,54,0.037
2026,2,21,COL,Outside L,4,132,0.0303
2026,2,21,COL,Outside R,8,129,0.062
2026,2,21,COL,R Circle,30,281,0.1068
2026,2,21,COL,R Corner,0,0,0
2026,2,21,COL,R Net Side,7,42,0.1667
2026,2,21,COL,R Point,7,223,0.0314
2026,2,12,CAR,Behind the Net,1,16,0.0625
2026,2,12,CAR,Beyond Red Line,4,61,0.0656
2026,2,12,CAR,Center Point,12,195,0.0615
2026,2,12,CAR,Crease,20,101,0.198
2026,2,12,CAR,High Slot,42,267,0.1573
2026,2,12,CAR,L Circle,28,237,0.1181
2026,2,12,CAR,L Corner,1,7,0.1429
2026,2,12,CAR,L Net Side,4,41,0.0976
2026,2,12,CAR,L Point,8,242,0.0331
2026,2,12,CAR,Low Slot,115,622,0.1849
2026,2,12,CAR,Offensive Neutral Zone,1,39,0.0256
2026,2,12,CAR,Outside L,8,177,0.0452
2026,2,12,CAR,Outside R,3,126,0.0238
2026,2,12,CAR,R Circle,34,265,0.1283
2026,2,12,CAR,R Corner,0,3,0
2026,2,12,CAR,R Net Side,4,48,0.0833
2026,2,12,CAR,R Point,6,190,0.0316
2026,2,25,DAL,Behind the Net,1,12,0.0833
2026,2,25,DAL,Beyond Red Line,5,62,0.0806
2026,2,25,DAL,Center Point,11,160,0.0688
2026,2,25,DAL,Crease,18,67,0.2687
2026,2,25,DAL,High Slot,31,225,0.1378
2026,2,25,DAL,L Circle,17,183,0.0929
2026,2,25,DAL,L Corner,0,3,0
2026,2,25,DAL,L Net Side,8,64,0.125
2026,2,25,DAL,L Point,2,103,0.0194
2026,2,25,DAL,Low Slot,139,629,0.221
2026,2,25,DAL,Offensive Neutral Zone,1,35,0.0286
2026,2,25,DAL,Outside L,4,79,0.0506
2026,2,25,DAL,Outside R,6,88,0.0682
2026,2,25,DAL,R Circle,19,184,0.1033
2026,2,25,DAL,R Corner,0,1,0
2026,2,25,DAL,R Net Side,7,48,0.1458
2026,2,25,DAL,R Point,4,131,0.0305
2026,2,7,BUF,Behind the Net,2,22,0.0909
2026,2,7,BUF,Beyond Red Line,11,59,0.1864
2026,2,7,BUF,Center Point,11,167,0.0659
2026,2,7,BUF,Crease,22,71,0.3099
2026,2,7,BUF,High Slot,40,230,0.1739
2026,2,7,BUF,L Circle,21,233,0.0901
2026,2,7,BUF,L Corner,0,3,0
2026,2,7,BUF,L Net Side,7,56,0.125
2026,2,7,BUF,L Point,4,145,0.0276
2026,2,7,BUF,Low Slot,120,554,0.2166
2026,2,7,BUF,Offensive Neutral Zone,1,31,0.0323
2026,2,7,BUF,Outside L,3,149,0.0201
2026,2,7,BUF,Outside R,3,132,0.0227
2026,2,7,BUF,R Circle,33,235,0.1404
2026,2,7,BUF,R Corner,0,3,0
2026,2,7,BUF,R Net Side,3,52,0.0577
2026,2,7,BUF,R Point,2,164,0.0122
2026,2,14,TBL,Behind the Net,0,12,0
2026,2,14,TBL,Beyond Red Line,3,49,0.0612
2026,2,14,TBL,Center Point,14,212,0.066
2026,2,14,TBL,Crease,22,88,0.25
2026,2,14,TBL,High Slot,32,228,0.1404
2026,2,14,TBL,L Circle,30,239,0.1255
2026,2,14,TBL,L Corner,0,3,0
2026,2,14,TBL,L Net Side,4,37,0.1081
2026,2,14,TBL,L Point,4,136,0.0294
2026,2,14,TBL,Low Slot,132,598,0.2207
2026,2,14,TBL,Offensive Neutral Zone,2,47,0.0426
2026,2,14,TBL,Outside L,4,99,0.0404
2026,2,14,TBL,Outside R,8,128,0.0625
2026,2,14,TBL,R Circle,21,207,0.1014
2026,2,14,TBL,R Corner,0,0,0
2026,2,14,TBL,R Net Side,7,56,0.125
2026,2,14,TBL,R Point,3,166,0.0181
2026,2,8,MTL,Behind the Net,6,23,0.2609
2026,2,8,MTL,Beyond Red Line,8,67,0.1194
2026,2,8,MTL,Center Point,7,125,0.056
2026,2,8,MTL,Crease,21,78,0.2692
2026,2,8,MTL,High Slot,38,190,0.2
2026,2,8,MTL,L Circle,26,228,0.114
2026,2,8,MTL,L Corner,0,8,0
2026,2,8,MTL,L Net Side,12,76,0.1579
2026,2,8,MTL,L Point,3,132,0.0227
2026,2,8,MTL,Low Slot,96,524,0.1832
2026,2,8,MTL,Offensive Neutral Zone,1,43,0.0233
2026,2,8,MTL,Outside L,8,115,0.0696
2026,2,8,MTL,Outside R,13,137,0.0949
2026,2,8,MTL,R Circle,28,220,0.1273
2026,2,8,MTL,R Corner,0,9,0
2026,2,8,MTL,R Net Side,7,60,0.1167
2026,2,8,MTL,R Point,5,121,0.0413
2026,2,30,MIN,Behind the Net,0,31,0
2026,2,30,MIN,Beyond Red Line,8,77,0.1039
2026,2,30,MIN,Center Point,3,176,0.017
2026,2,30,MIN,Crease,22,75,0.2933
2026,2,30,MIN,High Slot,34,216,0.1574
2026,2,30,MIN,L Circle,20,199,0.1005
2026,2,30,MIN,L Corner,0,7,0
2026,2,30,MIN,L Net Side,5,62,0.0806
2026,2,30,MIN,L Point,5,144,0.0347
2026,2,30,MIN,Low Slot,109,601,0.1814
2026,2,30,MIN,Offensive Neutral Zone,3,67,0.0448
2026,2,30,MIN,Outside L,8,141,0.0567
2026,2,30,MIN,Outside R,11,150,0.0733
2026,2,30,MIN,R Circle,26,199,0.1307
2026,2,30,MIN,R Corner,0,1,0
2026,2,30,MIN,R Net Side,9,83,0.1084
2026,2,30,MIN,R Point,5,164,0.0305
2026,2,6,BOS,Behind the Net,3,18,0.1667
2026,2,6,BOS,Beyond Red Line,3,92,0.0326
2026,2,6,BOS,Center Point,8,167,0.0479
2026,2,6,BOS,Crease,23,78,0.2949
2026,2,6,BOS,High Slot,30,216,0.1389
2026,2,6,BOS,L Circle,30,225,0.1333
2026,2,6,BOS,L Corner,0,3,0
2026,2,6,BOS,L Net Side,5,51,0.098
2026,2,6,BOS,L Point,9,144,0.0625
2026,2,6,BOS,Low Slot,104,505,0.2059
2026,2,6,BOS,Offensive Neutral Zone,2,55,0.0364
2026,2,6,BOS,Outside L,9,151,0.0596
2026,2,6,BOS,Outside R,6,123,0.0488
2026,2,6,BOS,R Circle,24,214,0.1122
2026,2,6,BOS,R Corner,0,4,0
2026,2,6,BOS,R Net Side,6,43,0.1395
2026,2,6,BOS,R Point,6,127,0.0472
2026,2,9,OTT,Behind the Net,1,12,0.0833
2026,2,9,OTT,Beyond Red Line,4,60,0.0667
2026,2,9,OTT,Center Point,10,185,0.0541
2026,2,9,OTT,Crease,30,108,0.2778
2026,2,9,OTT,High Slot,38,259,0.1467
2026,2,9,OTT,L Circle,19,202,0.0941
2026,2,9,OTT,L Corner,0,2,0
2026,2,9,OTT,L Net Side,4,51,0.0784
2026,2,9,OTT,L Point,5,139,0.036
2026,2,9,OTT,Low Slot,113,607,0.1862
2026,2,9,OTT,Offensive Neutral Zone,3,67,0.0448
2026,2,9,OTT,Outside L,4,123,0.0325
2026,2,9,OTT,Outside R,5,113,0.0442
2026,2,9,OTT,R Circle,25,238,0.105
2026,2,9,OTT,R Corner,0,3,0
2026,2,9,OTT,R Net Side,8,59,0.1356
2026,2,9,OTT,R Point,6,143,0.042
2026,2,5,PIT,Behind the Net,6,28,0.2143
2026,2,5,PIT,Beyond Red Line,7,73,0.0959
2026,2,5,PIT,Center Point,11,161,0.0683
2026,2,5,PIT,Crease,24,102,0.2353
2026,2,5,PIT,High Slot,38,224,0.1696
2026,2,5,PIT,L Circle,31,236,0.1314
2026,2,5,PIT,L Corner,0,5,0
2026,2,5,PIT,L Net Side,5,59,0.0847
2026,2,5,PIT,L Point,4,121,0.0331
2026,2,5,PIT,Low Slot,120,638,0.1881
2026,2,5,PIT,Offensive Neutral Zone,2,51,0.0392
2026,2,5,PIT,Outside L,5,101,0.0495
2026,2,5,PIT,Outside R,6,127,0.0472
