season,game_type,team_id,team_abbrev,dist_total_mi,dist_per60_mi,dist_max_game_mi,dist_max_period_mi
2026,2,21,COL,NA,NA,NA,NA
2026,2,12,CAR,NA,NA,NA,NA
2026,2,25,DAL,NA,NA,NA,NA
2026,2,7,BUF,NA,NA,NA,NA
2026,2,14,TBL,NA,NA,NA,NA
2026,2,8,MTL,NA,NA,NA,NA
2026,2,30,MIN,NA,NA,NA,NA
2026,2,6,BOS,NA,NA,NA,NA
2026,2,9,OTT,NA,NA,NA,NA
2026,2,5,PIT,NA,NA,NA,NA
2026,2,4,PHI,NA,NA,NA,NA
2026,2,15,WSH,NA,NA,NA,NA
2026,2,54,VGK,NA,NA,NA,NA
2026,2,22,EDM,NA,NA,NA,NA
2026,2,59,UTA,NA,NA,NA,NA
2026,2,17,DET,NA,NA,NA,NA
2026,2,29,CBJ,NA,NA,NA,NA
2026,2,24,ANA,NA,NA,NA,NA
2026,2,2,NYI,NA,NA,NA,NA
2026,2,26,LAK,NA,NA,NA,NA
2026,2,1,NJD,NA,NA,NA,NA
2026,2,19,STL,NA,NA,NA,NA
2026,2,18,NSH,NA,NA,NA,NA
2026,2,28,SJS,NA,NA,NA,NA
2026,2,13,FLA,NA,NA,NA,NA
2026,2,52,WPG,NA,NA,NA,NA
2026,2,55,SEA,NA,NA,NA,NA
2026,2,10,TOR,NA,NA,NA,NA
2026,2,20,CGY,NA,NA,NA,NA
2026,2,3,NYR,NA,NA,NA,NA
2026,2,16,CHI,NA,NA,NA,NA
2026,2,23,VAN,NA,NA,NA,NA
