season,game_type,team_id,team_abbrev,gp,wins,losses,ot_losses,points,conference,division,dist_total_mi,dist_per60_mi,dist_max_game_mi,max_skate_speed_mph,bursts_over22,bursts_20_22,bursts_18_20,oz_pct,nz_pct,dz_pct,oz_league_avg,dz_league_avg,top_shot_speed_mph,avg_shot_speed_mph,shot_attempts_over100,shot_attempts_90_100,shot_attempts_80_90,shot_diff,shots_for,shots_against
2022,2,21,COL,82,56,19,7,119,Western,Central,3717.8613,9.1766,49.4793,23.959,213,2570,8982,0.4198345,0.1750883,0.4050773,0.4104946,0.4104946,101,58.4713,1,85,581,NA,NA,NA
2022,2,12,CAR,82,54,20,8,116,Eastern,Metropolitan,3724.1239,9.2274,48.3274,23.951,83,1647,7880,0.4551413,0.1807431,0.3641156,0.4104946,0.4104946,95.65,57.6994,0,48,542,NA,NA,NA
2022,2,25,DAL,82,46,30,6,98,Western,Central,3656.5481,8.9764,51.016,24.6,142,1771,7784,0.4058591,0.1775462,0.4165947,0.4104946,0.4104946,96.23,56.4789,0,29,380,NA,NA,NA
2022,2,7,BUF,82,32,39,11,75,Eastern,Atlantic,3761.9,9.2556,50.6153,22.985,42,1406,7728,0.3948302,0.1805,0.4246698,0.4104946,0.4104946,101.63,58.7982,2,93,461,NA,NA,NA
2022,2,14,TBL,82,51,23,8,110,Eastern,Atlantic,3603.7229,8.8804,48.5934,23.357,99,1605,7237,0.4182928,0.1796773,0.4020299,0.4104946,0.4104946,101.19,59.0317,7,222,576,NA,NA,NA
2022,2,8,MTL,82,22,49,11,55,Eastern,Atlantic,3717.8994,9.1892,50.118,23.626,65,1920,8792,0.39037,0.1793324,0.4302976,0.4104946,0.4104946,99.43,57.0277,0,105,503,NA,NA,NA
2022,2,30,MIN,82,53,22,7,113,Western,Central,3642.8705,8.9539,49.6161,22.985,54,1310,7513,0.4113263,0.1812433,0.4074304,0.4104946,0.4104946,100.81,57.6773,3,61,532,NA,NA,NA
2022,2,6,BOS,82,51,26,5,107,Eastern,Atlantic,3723.9209,9.2246,49.2869,23.531,59,1498,7970,0.4185927,0.1811376,0.4002696,0.4104946,0.4104946,100.24,58.1895,1,89,447,NA,NA,NA
2022,2,9,OTT,82,33,42,7,73,Eastern,Atlantic,3677.0343,9.0811,49.2924,24.214,83,1836,8490,0.3971664,0.176576,0.4262576,0.4104946,0.4104946,101.59,56.8581,2,65,422,NA,NA,NA
2022,2,5,PIT,82,46,25,11,103,Eastern,Metropolitan,3818.6457,9.3742,51.0947,23.49,86,1927,8709,0.4268795,0.1777739,0.3953466,0.4104946,0.4104946,99.7,56.9992,0,71,555,NA,NA,NA
2022,2,4,PHI,82,25,46,11,61,Eastern,Metropolitan,3743.54,9.2184,48.9667,23.411,39,1411,7557,0.4034631,0.1765273,0.4200097,0.4104946,0.4104946,101.36,57.5218,1,81,479,NA,NA,NA
2022,2,15,WSH,82,44,26,12,100,Eastern,Metropolitan,3723.3271,9.1506,50.7525,23.235,94,1904,8237,0.4148383,0.1790933,0.4060684,0.4104946,0.4104946,101.54,58.6467,4,233,469,NA,NA,NA
2022,2,54,VGK,82,43,31,8,94,Western,Pacific,3766.4186,9.2465,49.95,23.509,86,1796,8217,0.4234436,0.1866454,0.3899109,0.4104946,0.4104946,97.64,57.7953,0,106,580,NA,NA,NA
2022,2,22,EDM,82,49,27,6,104,Western,Pacific,3722.2407,9.1795,49.9405,24.144,190,2426,8559,0.4307091,0.1789378,0.3903531,0.4104946,0.4104946,99.95,56.5779,0,109,519,NA,NA,NA
2022,2,17,DET,82,32,40,10,74,Eastern,Atlantic,3696.2152,9.086,49.1195,23.609,45,1301,6860,0.3949814,0.1756856,0.429333,0.4104946,0.4104946,101.53,56.3135,4,47,393,NA,NA,NA
2022,2,29,CBJ,82,37,38,7,81,Eastern,Metropolitan,3724.9504,9.1878,49.6765,23.417,111,1898,8070,0.3904244,0.17708,0.4324956,0.4104946,0.4104946,101.53,58.6048,5,72,582,NA,NA,NA
2022,2,24,ANA,82,31,37,14,76,Western,Pacific,3736.9091,9.1749,49.9231,23.137,34,1315,7597,0.3969132,0.1818511,0.4212357,0.4104946,0.4104946,97.71,56.8258,0,49,346,NA,NA,NA
