season,game_type,game_id,game_date,home_full,away_abbrev,home_score,away_score,period_type
2024,2,2023020003,2023-10-10,Vegas Golden Knights,SEA,4,1,REG
2024,2,2023020001,2023-10-10,Tampa Bay Lightning,NSH,5,3,REG
2024,2,2023020002,2023-10-10,Pittsburgh Penguins,CHI,2,4,REG
2024,2,2023020008,2023-10-11,Los Angeles Kings,COL,2,5,REG
2024,2,2023020007,2023-10-11,Calgary Flames,WPG,5,3,REG
2024,2,2023020009,2023-10-11,Vancouver Canucks,EDM,8,1,REG
2024,2,2023020005,2023-10-11,Toronto Maple Leafs,MTL,5,5,REG
2024,2,2023020006,2023-10-11,Boston Bruins,CHI,3,1,REG
2024,2,2023020004,2023-10-11,Carolina Hurricanes,OTT,5,3,REG
2024,2,2023020016,2023-10-12,San Jose Sharks,VGK,1,4,REG
2024,2,2023020013,2023-10-12,Dallas Stars,STL,1,1,REG
2024,2,2023020015,2023-10-12,Nashville Predators,SEA,3,0,REG
2024,2,2023020012,2023-10-12,New Jersey Devils,DET,4,3,REG
2024,2,2023020014,2023-10-12,Minnesota Wild,FLA,2,0,REG
2024,2,2023020011,2023-10-12,Columbus Blue Jackets,PHI,2,4,REG
2024,2,2023020010,2023-10-12,Buffalo Sabres,NYR,1,5,REG
2024,2,2023020018,2023-10-13,Washington Capitals,PIT,0,4,REG
2024,2,2023020017,2023-10-13,New Jersey Devils,ARI,3,3,REG
2024,2,2023020020,2023-10-14,Winnipeg Jets,FLA,6,4,REG
2024,2,2023020030,2023-10-14,San Jose Sharks,COL,1,1,REG
2024,2,2023020022,2023-10-14,Columbus Blue Jackets,NYR,5,3,REG
2024,2,2023020024,2023-10-14,Montréal Canadiens,CHI,3,2,REG
2024,2,2023020026,2023-10-14,Toronto Maple Leafs,MIN,7,4,REG
2024,2,2023020032,2023-10-14,Los Angeles Kings,CAR,5,5,REG
2024,2,2023020031,2023-10-14,Vegas Golden Knights,ANA,4,1,REG
2024,2,2023020025,2023-10-14,Pittsburgh Penguins,CGY,5,2,REG
2024,2,2023020027,2023-10-14,New York Islanders,BUF,3,2,REG
2024,2,2023020019,2023-10-14,Ottawa Senators,PHI,5,2,REG
2024,2,2023020023,2023-10-14,Detroit Red Wings,TBL,6,4,REG
2024,2,2023020029,2023-10-14,Edmonton Oilers,VAN,3,4,REG
2024,2,2023020021,2023-10-14,Boston Bruins,NSH,3,2,REG
2024,2,2023020028,2023-10-14,St. Louis Blues,SEA,1,1,REG
2024,2,2023020033,2023-10-15,Ottawa Senators,TBL,5,2,REG
2024,2,2023020034,2023-10-15,Anaheim Ducks,CAR,6,3,REG
2024,2,2023020039,2023-10-16,Washington Capitals,CGY,2,2,REG
2024,2,2023020035,2023-10-16,Columbus Blue Jackets,DET,0,4,REG
2024,2,2023020037,2023-10-16,New York Rangers,ARI,2,1,REG
2024,2,2023020036,2023-10-16,New Jersey Devils,FLA,3,4,REG
2024,2,2023020038,2023-10-16,Toronto Maple Leafs,CHI,1,4,REG
2024,2,2023020048,2023-10-17,Vegas Golden Knights,DAL,2,2,REG
2024,2,2023020047,2023-10-17,San Jose Sharks,CAR,3,6,REG
2024,2,2023020042,2023-10-17,Philadelphia Flyers,VAN,2,0,REG
2024,2,2023020041,2023-10-17,Montréal Canadiens,MIN,2,5,REG
2024,2,2023020040,2023-10-17,Buffalo Sabres,TBL,3,2,REG
2024,2,2023020043,2023-10-17,New York Islanders,ARI,1,0,REG
2024,2,2023020044,2023-10-17,Nashville Predators,EDM,1,6,REG
2024,2,2023020045,2023-10-17,Winnipeg Jets,LAK,1,5,REG
2024,2,2023020046,2023-10-17,Seattle Kraken,COL,1,4,REG
2024,2,2023020049,2023-10-18,Ottawa Senators,WSH,6,1,REG
2024,2,2023020050,2023-10-18,Detroit Red Wings,PIT,6,3,REG
2024,2,2023020051,2023-10-19,Buffalo Sabres,CGY,3,4,REG
2024,2,2023020061,2023-10-19,Colorado Avalanche,CHI,4,0,REG
2024,2,2023020052,2023-10-19,Florida Panthers,TOR,3,1,REG
2024,2,2023020062,2023-10-19,San Jose Sharks,BOS,1,3,REG
2024,2,2023020056,2023-10-19,Minnesota Wild,LAK,3,7,REG
2024,2,2023020055,2023-10-19,Tampa Bay Lightning,VAN,4,3,REG
2024,2,2023020060,2023-10-19,Seattle Kraken,CAR,7,4,REG
2024,2,2023020059,2023-10-19,Anaheim Ducks,DAL,2,3,REG
2024,2,2023020057,2023-10-19,St. Louis Blues,ARI,2,6,REG
2024,2,2023020058,2023-10-19,Winnipeg Jets,VGK,3,5,REG
2024,2,2023020054,2023-10-19,Philadelphia Flyers,EDM,4,1,REG
2024,2,2023020053,2023-10-19,New York Rangers,NSH,1,4,REG
2024,2,2023020064,2023-10-20,New York Islanders,NJD,4,5,REG
