"player_id","team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","ev_goals","ev_assists","pp_goals","pp_assists","pk_ga","pp_shots","pk_shots_against","pp_gf_onice","pk_ga_onice","xg_for_5v5","xg_against_5v5","pen_taken","pen_drawn","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","ev_points_per60","pp_points_per60","pk_ga_per60","pk_save_pct","pp_gf_onice_per60","pk_ga_onice_per60","xg_for_per60_5v5","xg_against_per60_5v5","toi_all_tracked_sec","pen_taken_per60","pen_drawn_per60","penalty_diff_per60"
"8470775","WPG",55,348,487,29,19,2,4,0,1,9,16,2,2,0,15.5861310625041,19.3514984139474,3,1,26852,4535,926,41.7,3.89,2.55,0.8,0.79,34.99,-3.5,1.59,0,2.09,2.594,32313,0.33,0.11,-0.22
"8471702","PHI",3,56,69,7,6,1,0,0,0,2,1,0,0,0,2.8515851473785,3.91158970247488,0,0,3576,822,413,44.8,7.05,6.04,1.01,0,17.43,NA,0,0,2.871,3.938,4811,0,0,0
"8472382","NYI",82,1177,1389,78,86,2,5,0,0,23,50,12,4,1,57.863194378966,61.8453219317598,10,2,76354,8587,1767,45.9,3.68,4.05,0.33,0,46.86,-0.9167,1.68,2.04,2.728,2.916,86708,0.42,0.08,-0.34
"8473463","NYI",59,621,695,37,36,1,8,0,1,14,26,4,3,0,29.990728794015,30.5819812473783,7,6,40805,3926,618,47.2,3.26,3.18,0.79,0.92,81.55,-2.5,2.75,0,2.646,2.698,45349,0.56,0.48,-0.08
"8473504","NYI",77,750,946,73,55,7,11,1,0,24,27,6,2,1,39.639369723096,40.8399269893998,13,10,54304,6202,2173,44.2,4.84,3.65,1.19,0.58,39.76,-3,1.16,1.66,2.628,2.707,62679,0.75,0.57,-0.18
"8473512","PHI",57,900,726,69,76,12,17,0,0,21,12,46,0,5,39.7242442748102,36.6834045540891,6,18,49580,2594,7065,55.4,5.01,5.52,2.11,0,10.7,0.5435,0,2.55,2.884,2.664,59239,0.36,1.09,0.73
"8473544","ARI",61,623,668,53,55,6,11,0,0,7,2,25,0,3,25.6163938512909,30.4525369641779,8,10,42592,763,7241,48.3,4.48,4.65,1.44,0,3.48,0.72,0,1.49,2.165,2.574,50596,0.57,0.71,0.14
"8473575","NYI",57,2457,2673,114,97,0,1,0,0,25,61,61,3,1,115.753830312635,111.239318120992,1,3,175910,13336,13771,47.9,2.33,1.99,0.02,0,6.54,0.5902,0.81,0.26,2.369,2.277,203017,0.02,0.05,0.03
"8474027","PHI",56,859,872,55,78,1,5,0,0,28,38,0,1,0,37.5197825410287,42.4569306757767,10,2,53777,6522,668,49.6,3.68,5.22,0.4,0,150.9,NA,0.55,0,2.512,2.842,60967,0.59,0.12,-0.47
"8474037","PHI",59,849,742,58,70,9,19,0,0,7,0,46,0,4,35.8996095804323,36.6150324891787,7,5,48332,519,7646,53.4,4.32,5.21,2.09,0,3.3,0.8478,0,1.88,2.674,2.727,56497,0.45,0.32,-0.13
"8474161","PHI",56,838,734,57,75,8,21,0,0,15,1,40,0,5,34.9854808124073,36.8984783785418,10,21,46521,972,7092,53.3,4.41,5.8,2.24,0,7.61,0.625,0,2.54,2.707,2.855,54585,0.66,1.38,0.72
"8474573","NYI",81,1013,1266,85,87,13,26,0,0,18,29,41,2,2,54.6778592947812,57.9621024969092,4,2,70269,5254,8954,44.4,4.35,4.46,2,0,7.24,0.561,1.37,0.8,2.801,2.969,84477,0.17,0.09,-0.08
"8474586","NYI",82,1249,1059,77,70,17,19,0,0,11,9,49,1,1,63.3465203325031,47.4188513413537,12,14,71009,1503,9843,54.1,3.9,3.55,1.83,0,4.02,0.7755,2.4,0.37,3.212,2.404,82355,0.52,0.61,0.09
"8474683","ANA",48,464,654,45,48,4,7,0,0,14,29,4,1,1,19.5906386507268,30.079223687062,12,5,34351,5897,956,41.5,4.72,5.03,1.15,0,52.72,-2.5,0.61,3.77,2.053,3.152,41204,1.05,0.44,-0.61
"8474709","NYI",81,753,897,70,50,8,6,0,0,3,0,12,0,1,38.6860967712128,38.6621989994892,22,16,52631,251,3061,45.6,4.79,3.42,0.96,0,3.53,0.75,0,1.18,2.646,2.645,55943,1.42,1.03,-0.39
"8475181","NYI",83,1332,1618,91,80,1,24,0,0,16,13,45,0,2,68.0670262768108,72.3084462179104,5,9,93410,3678,10212,45.2,3.51,3.08,0.96,0,5.64,0.6444,0,0.71,2.623,2.787,107300,0.17,0.3,0.13
"8475231","NYI",79,756,1010,76,53,8,10,0,0,24,22,6,1,1,39.6396200350136,44.0498946896405,13,16,56806,6203,2237,42.8,4.82,3.36,1.14,0,38.62,-3,0.58,1.61,2.512,2.792,65246,0.72,0.88,0.16
"8475314","NYI",36,629,507,43,38,8,9,0,0,4,2,21,0,0,31.9486857890734,23.5773535813496,7,10,33648,577,4848,55.4,4.6,4.07,1.82,0,2.97,0.8095,0,0,3.418,2.523,39073,0.64,0.92,0.28
"8475752","ARI",41,454,510,35,30,4,4,1,0,13,16,11,1,0,18.5725108775077,21.5993324777228,8,7,31096,4303,3706,47.1,4.05,3.47,0.93,0.84,12.63,-0.1818,0.84,0,2.15,2.501,39105,0.74,0.64,-0.1
"8475754","NYI",83,1101,1310,82,90,20,18,0,0,19,27,43,1,2,58.5104467671772,62.3402101484826,10,18,72246,5471,9137,45.7,4.09,4.48,1.89,0,7.49,0.5581,0.66,0.79,2.916,3.106,86854,0.41,0.75,0.34
"8475763","PHI",58,766,786,56,65,9,13,0,0,30,23,39,0,4,37.4698602555436,37.3865399244823,12,11,46752,4729,7778,49.4,4.31,5.01,1.69,0,13.89,0.2308,0,1.85,2.885,2.879,59259,0.73,0.67,-0.06
"8476419","NYI",81,940,1244,82,60,8,16,2,0,13,44,30,4,1,47.7158598423121,53.6856172070256,10,16,66339,6878,7275,43,4.45,3.26,1.3,1.05,6.43,0.5667,2.09,0.49,2.589,2.913,80492,0.45,0.72,0.27
"8476429","NYI",83,1247,1483,89,78,5,17,0,0,29,47,5,3,1,63.859528420784,66.8077539551014,19,7,88856,9587,1653,45.7,3.61,3.16,0.89,0,63.16,-4.8,1.13,2.18,2.587,2.707,100096,0.68,0.25,-0.43
