"player_id","team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","ev_goals","ev_assists","pp_goals","pp_assists","pk_ga","pp_shots","pk_shots_against","pp_gf_onice","pk_ga_onice","pen_taken","pen_drawn","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","ev_points_per60","pp_points_per60","pk_ga_per60","pk_save_pct","pp_gf_onice_per60","pk_ga_onice_per60","toi_all_tracked_sec","pen_taken_per60","pen_drawn_per60","penalty_diff_per60"
"8473419","FLA",28,363,384,25,35,9,4,5,8,1,202,40,20,6,19,24,21744,4824,2141,48.6,4.14,5.79,2.15,9.7,1.68,0.975,14.93,10.09,28709,2.38,3.01,0.63
"8473422","MIN",45,388,432,29,33,5,5,0,1,2,57,139,13,13,15,15,27718,1944,3718,47.3,3.77,4.29,1.3,1.85,1.94,0.9856,24.07,12.59,33380,1.62,1.62,0
"8473507","FLA",41,545,488,27,60,0,5,0,2,0,44,55,11,11,12,3,31401,1762,1962,52.8,3.1,6.88,0.57,4.09,0,1,22.47,20.18,35125,1.23,0.31,-0.92
"8475179","FLA",18,268,257,17,23,0,0,0,0,0,4,55,3,10,5,2,16750,305,1970,51,3.65,4.94,0,0,0,1,35.41,18.27,19025,0.95,0.38,-0.57
"8475683","FLA",33,1403,1297,58,75,0,0,0,0,2,330,253,24,21,2,2,91548,9795,9446,52,2.28,2.95,0,0,0.76,0.9921,8.82,8,110789,0.06,0.06,0
"8476473","CHI",55,683,843,57,62,4,6,0,0,1,16,252,15,24,18,11,52914,785,6868,44.8,3.88,4.22,0.68,0,0.52,0.996,68.79,12.58,60567,1.07,0.65,-0.42
"8476882","CHI",47,499,580,30,56,3,6,3,5,1,199,175,14,14,3,5,36367,5456,5375,46.2,2.97,5.54,0.89,5.28,0.67,0.9943,9.24,9.38,47198,0.23,0.38,0.15
"8476891","CHI",39,515,614,30,47,0,4,0,0,2,48,25,7,12,10,4,35029,1939,1564,45.6,3.08,4.83,0.41,0,4.6,0.92,13,27.62,38532,0.93,0.37,-0.56
"8477409","FLA",48,729,638,46,59,11,11,4,3,2,282,11,21,9,11,10,40254,6945,840,53.3,4.11,5.28,1.97,3.63,8.57,0.8182,10.89,38.57,48039,0.82,0.75,-0.07
"8477444","CHI",48,615,706,39,64,5,7,2,3,2,149,17,11,15,8,9,38851,4822,890,46.6,3.61,5.93,1.11,3.73,8.09,0.8824,8.21,60.67,44563,0.65,0.73,0.08
"8477450","CHI",46,486,552,41,50,5,7,0,0,1,18,139,16,12,10,8,34641,1055,4589,46.8,4.26,5.2,1.25,0,0.78,0.9928,54.6,9.41,40285,0.89,0.71,-0.18
"8477479","CHI",50,657,769,52,58,12,11,4,4,2,237,10,16,10,11,19,45693,6862,649,46.1,4.1,4.57,1.81,4.2,11.09,0.8,8.39,55.47,53204,0.74,1.29,0.55
"8477495","FLA",36,567,578,38,55,1,9,3,10,1,258,121,22,15,7,8,38011,5893,5110,49.5,3.6,5.21,0.95,7.94,0.7,0.9917,13.44,10.57,49014,0.51,0.59,0.08
"8477932","FLA",44,725,690,45,60,1,8,1,1,1,170,214,20,17,25,12,44771,5217,5869,51.2,3.62,4.82,0.72,1.38,0.61,0.9953,13.8,10.43,55857,1.61,0.77,-0.84
"8477933","FLA",35,435,430,30,43,4,8,6,10,1,295,93,26,10,5,7,31505,6760,3169,50.3,3.43,4.91,1.37,8.52,1.14,0.9892,13.85,11.36,41434,0.43,0.61,0.18
"8477935","FLA",47,668,614,51,53,9,12,2,7,1,327,64,23,13,30,14,38573,7461,2795,52.1,4.76,4.95,1.96,4.34,1.29,0.9844,11.1,16.74,48829,2.21,1.03,-1.18
"8477987","CHI",51,582,652,38,47,6,10,0,1,2,119,4,11,3,18,21,38365,4787,327,47.2,3.57,4.41,1.5,0.75,22.02,0.5,8.27,33.03,43479,1.49,1.74,0.25
"8478043","CHI",21,120,139,7,16,0,1,0,0,0,1,4,1,4,2,1,10263,67,106,46.3,2.46,5.61,0.35,0,0,1,53.73,135.85,10436,0.69,0.34,-0.35
"8478055","FLA",51,925,844,57,70,0,14,0,0,1,46,247,16,22,18,6,55159,2390,7362,52.3,3.72,4.57,0.91,0,0.49,0.996,24.1,10.76,64911,1,0.33,-0.67
"8478421","FLA",48,583,497,46,54,7,10,0,0,0,22,82,12,11,29,23,33835,917,2355,54,4.89,5.75,1.81,0,0,1,47.11,16.82,37107,2.81,2.23,-0.58
"8478542","FLA",40,513,444,43,47,5,9,0,3,0,144,78,19,10,19,20,30170,4548,3004,53.6,5.13,5.61,1.67,2.37,0,1,15.04,11.98,37722,1.81,1.91,0.1
"8478859","FLA",39,626,622,29,61,3,4,0,0,0,20,133,10,16,21,18,39302,1069,5541,50.2,2.66,5.59,0.64,0,0,1,33.68,10.4,45912,1.65,1.41,-0.24
"8479316","FLA",40,293,368,21,37,1,4,0,0,0,7,74,6,8,6,7,21560,508,1883,44.3,3.51,6.18,0.83,0,0,1,42.52,15.29,23951,0.9,1.05,0.15
"8479981","FLA",5,27,36,2,5,0,1,0,0,0,2,0,2,0,1,0,2223,47,0,42.9,3.24,8.1,1.62,0,NA,NA,153.19,NA,2270,1.59,0,-1.59
"8480003","FLA",50,454,483,36,54,2,5,0,1,0,31,62,13,17,8,17,30791,1725,2113,48.5,4.21,6.31,0.82,2.09,0,1,27.13,28.96,34629,0.83,1.77,0.94
"8480185","FLA",49,631,584,50,59,8,13,1,0,0,113,143,12,15,15,25,39330,3485,4724,51.9,4.58,5.4,1.92,1.03,0,1,12.4,11.43,47539,1.14,1.89,0.75
"8481519","CHI",36,1443,1731,55,73,0,0,0,0,1,241,232,14,17,0,1,105881,8731,8927,45.5,1.87,2.48,0,0,0.4,0.9957,5.77,6.86,123539,0,0.03,0.03
"8481624","CHI",49,592,711,44,51,13,9,0,0,0,9,160,8,17,9,14,41589,1058,5678,45.4,3.81,4.41,1.9,0,0,1,27.22,10.78,48325,0.67,1.04,0.37
"8482113","FLA",36,460,432,29,40,7,5,4,7,0,180,113,21,13,16,22,30553,4853,3881,51.6,3.42,4.71,1.41,8.16,0,1,15.58,12.06,39287,1.47,2.02,0.55
"8482176","CHI",49,703,850,50,69,6,4,0,0,0,6,150,1,21,17,15,49912,633,5857,45.3,3.61,4.98,0.72,0,0,1,5.69,12.91,56402,1.09,0.96,-0.13
"8482703","CHI",41,346,365,25,27,2,5,0,1,1,51,5,9,5,13,12,24219,1812,302,48.7,3.72,4.01,1.04,1.99,11.92,0.8,17.88,59.6,26333,1.78,1.64,-0.14
"8482713","FLA",47,625,481,43,50,6,9,3,6,0,195,10,21,10,15,31,33545,5750,493,56.5,4.61,5.37,1.61,5.63,0,1,13.15,73.02,39788,1.36,2.8,1.44
"8482807","CHI",18,196,236,6,22,0,0,0,0,0,0,19,0,3,4,3,14135,42,915,45.4,1.53,5.6,0,0,0,1,0,11.8,15092,0.95,0.72,-0.23
"8483450","CHI",50,584,754,41,54,5,8,0,2,2,82,151,8,21,7,14,39910,3956,3872,43.6,3.7,4.87,1.17,1.82,1.86,0.9868,7.28,19.52,47738,0.53,1.06,0.53
"8483493","CHI",43,497,643,35,52,8,12,4,5,0,194,70,12,10,13,22,36277,5601,2927,43.6,3.47,5.16,1.98,5.78,0,1,7.71,12.3,44805,1.04,1.77,0.73
"8483506","CHI",36,485,658,28,52,3,2,0,0,0,101,34,6,17,17,6,35514,3690,1200,42.4,2.84,5.27,0.51,0,0,1,5.85,51,40404,1.51,0.53,-0.98
"8484144","CHI",42,610,808,47,57,7,14,3,8,1,204,18,13,18,25,30,42462,5875,1049,43,3.98,4.83,1.78,6.74,3.43,0.9444,7.97,61.77,49386,1.82,2.19,0.37
"8484783","CHI",38,568,685,30,46,0,7,1,3,2,132,38,8,12,21,8,37419,4457,1952,45.3,2.89,4.43,0.67,3.23,3.69,0.9474,6.46,22.13,43828,1.72,0.66,-1.06
"8471215","PIT",31,409,384,37,32,9,11,1,12,5,168,5,17,5,26,21,26095,4103,396,51.6,5.1,4.41,2.76,11.41,45.45,0,14.92,45.45,30594,3.06,2.47,-0.59
"8471675","PIT",45,692,675,54,52,6,24,8,10,6,268,12,23,12,20,25,42099,6150,947,50.6,4.62,4.45,2.57,10.54,22.81,0.5,13.46,45.62,49196,1.46,1.83,0.37
"8471724","PIT",49,832,858,69,52,1,12,0,3,2,120,110,19,28,24,11,51499,5243,3716,49.2,4.82,3.64,0.91,2.06,1.94,0.9818,13.05,27.13,60458,1.43,0.66,-0.77
"8474578","PIT",50,944,807,61,72,8,18,3,15,6,316,153,28,11,16,13,55568,7619,4475,53.9,3.95,4.66,1.68,8.51,4.83,0.9608,13.23,8.85,67662,0.85,0.69,-0.16
"8475842","NYR",44,414,417,29,25,5,4,0,0,0,11,82,11,9,11,10,24916,716,2192,49.8,4.19,3.61,1.3,0,0,1,55.31,14.78,27824,1.42,1.29,-0.13
"8476389","NYR",44,592,626,43,46,6,9,1,10,4,258,159,27,13,25,17,40761,6686,3958,48.6,3.8,4.06,1.32,5.92,3.64,0.9748,14.54,11.82,51405,1.75,1.19,-0.56
"8476459","NYR",50,688,715,50,45,10,10,8,12,3,333,170,30,19,7,9,45615,8322,5433,49,3.95,3.55,1.58,8.65,1.99,0.9824,12.98,12.59,59370,0.42,0.55,0.13
"8476468","NYR",41,531,578,36,42,3,14,3,9,2,278,127,18,10,13,7,36071,6792,3834,47.9,3.59,4.19,1.7,6.36,1.88,0.9843,9.54,9.39,46697,1,0.54,-0.46
"8476483","PIT",45,669,627,56,52,14,8,6,9,6,262,53,27,17,4,11,40128,6322,2036,51.6,5.02,4.67,1.97,8.54,10.61,0.8868,15.37,30.06,48486,0.3,0.82,0.52
"8477369","NYI",49,653,704,35,56,2,5,0,0,0,6,119,5,18,19,2,41822,674,3991,48.1,3.01,4.82,0.6,0,0,1,26.71,16.24,46487,1.47,0.15,-1.32
"8477511","PIT",54,682,664,74,65,17,15,5,5,2,245,11,25,10,24,19,41030,6871,443,50.7,6.49,5.7,2.81,5.24,16.25,0.8182,13.1,81.26,48344,1.79,1.41,-0.38
"8477839","NYR",44,519,551,31,35,6,5,0,2,1,76,47,13,6,7,11,32576,2985,1427,48.5,3.43,3.87,1.22,2.41,2.52,0.9787,15.68,15.14,36988,0.68,1.07,0.39
"8478048","NYR",33,1513,1483,58,52,0,0,0,0,3,289,274,25,19,3,4,98047,9131,8967,50.5,2.13,1.91,0,0,1.2,0.9891,9.86,7.63,116145,0.09,0.12,0.03
"8478438","PIT",55,732,716,70,60,8,16,1,1,3,97,9,12,9,11,7,41554,4384,537,50.6,6.06,5.2,2.08,1.64,20.11,0.6667,9.85,60.34,46475,0.85,0.54,-0.31
"8478450","PIT",53,954,873,66,80,2,15,0,0,1,7,215,5,17,21,17,56235,913,5644,52.2,4.23,5.12,1.09,0,0.64,0.9953,19.72,10.84,62792,1.2,0.97,-0.23
"8478452","PIT",4,52,69,3,4,0,1,0,0,0,1,10,1,2,0,1,3497,90,341,43,3.09,4.12,1.03,0,0,1,40,21.11,3928,0,0.92,0.92
