"metric","n_years","intercept","w1","w2","w3","n_obs"
"off_rapm_per60",3,0.00247229341459875,0.109237637520698,0.151037570540284,0.235104891494263,7857
"off_rapm_per60",2,0.00374168890089826,0.173734086054611,0.249591354575471,NA,9849
"def_rapm_per60",3,-0.000334070883940289,0.0851574406375442,0.140514665826305,0.17970096922026,7857
"def_rapm_per60",2,-0.000335606203675697,0.161744912809335,0.19468897481219,NA,9849
"shot_vol_off_per60",3,0.0518143179120417,0.169245314625469,0.218315509250523,0.362873338862166,7141
"shot_vol_off_per60",2,0.13647908371929,0.270206039037252,0.400372765801131,NA,8959
"shot_vol_def_per60",3,-0.211808759029674,0.146961728100755,0.18989106424307,0.301883026365884,7141
"shot_vol_def_per60",2,-0.180032839658863,0.232478265776634,0.327811919066334,NA,8959
"pp_rapm_per60",3,0.0160175093644286,0.103256165352715,0.146792639125111,0.261678838812287,7165
"pp_rapm_per60",2,0.0174627979988838,0.168302281717427,0.263459542104666,NA,8910
"pk_rapm_per60",3,0.000919958431787014,0.0532059368496157,0.0691360765933788,0.119241477892293,7178
"pk_rapm_per60",2,0.00173069447745393,0.0772859262835026,0.110564921800424,NA,8924
