season,game_type,team_id,team_full,gp,hits,hits_per60,blocked_shots,blocked_shots_per60,takeaways,takeaways_per60,giveaways,giveaways_per60,missed_shots,total_shot_attempts,shot_attempts_blocked,corsi_pct,empty_net_goals,toi_per_game_5v5
2012,2,3,New York Rangers,82,2419,29.0376,1338,16.0596,536,6.4332,482,5.7852,886,4246,1022,0.47736,10,2812.71951
2012,2,26,Los Angeles Kings,82,2274,27.1872,969,11.5848,452,5.4036,713,8.5212,1123,4882,1250,0.547394,9,2752.57317
2012,2,25,Dallas Stars,82,2235,26.8776,1262,15.174,552,6.6384,595,7.1532,1006,4474,1154,0.498332,11,2816.82926
2012,2,10,Toronto Maple Leafs,82,2218,26.6868,1223,14.7132,569,6.8436,849,10.2132,991,4616,1303,0.489057,4,2870.43902
2012,2,27,Phoenix Coyotes,82,2084,24.948,1071,12.8196,482,5.7672,470,5.6232,1011,4605,1166,0.498049,7,2882.40243
2012,2,4,Philadelphia Flyers,82,2058,24.6852,1208,14.49,478,5.7312,588,7.0524,1002,4884,1241,0.509956,7,2679.07317
2012,2,5,Pittsburgh Penguins,82,2058,24.7176,1065,12.7908,439,5.2704,463,5.5584,1088,5162,1295,0.542466,8,2788.4878
2012,2,29,Columbus Blue Jackets,82,2018,24.3432,1054,12.7116,598,7.2108,399,4.8132,842,4327,1031,0.475769,9,2762.29268
2012,2,9,Ottawa Senators,82,1974,23.7096,1078,12.9456,642,7.7112,724,8.694,1033,4951,1344,0.522993,14,2798.87804
2012,2,15,Washington Capitals,82,1972,23.7312,1302,15.6672,602,7.2432,696,8.3736,934,4380,1151,0.488702,6,2869.35365
2012,2,52,Winnipeg Jets,82,1966,23.6592,1197,14.4036,484,5.8248,550,6.6168,1067,4638,1100,0.503305,4,2830.60975
2012,2,19,St. Louis Blues,82,1949,23.3748,1120,13.4316,500,5.994,353,4.2336,1066,4720,1143,0.531125,9,2790.91463
2012,2,21,Colorado Avalanche,82,1889,22.6368,1111,13.3128,704,8.4348,487,5.8356,873,4682,1226,0.512732,6,2872.4878
2012,2,13,Florida Panthers,82,1858,22.1796,1042,12.438,602,7.1856,464,5.5368,917,4443,1093,0.494945,11,2861.5
2012,2,24,Anaheim Ducks,82,1856,22.3272,1175,14.1336,443,5.328,646,7.7724,1017,4406,1098,0.486278,6,2805.36585
2012,2,2,New York Islanders,82,1840,22.0788,1364,16.3692,851,10.2096,684,8.208,850,4405,1145,0.476391,10,2902.91463
2012,2,8,Montréal Canadiens,82,1839,21.9888,1341,16.0344,468,5.5944,695,8.3088,901,4474,1233,0.479605,5,2714.32926
2012,2,23,Vancouver Canucks,82,1825,21.8016,1019,12.1716,538,6.426,544,6.498,990,4875,1302,0.527485,7,2778.54878
2012,2,14,Tampa Bay Lightning,82,1788,21.492,1278,15.3612,536,6.4404,541,6.5016,859,4129,1081,0.472682,6,2837.80487
2012,2,6,Boston Bruins,82,1777,21.3696,1054,12.6756,456,5.4828,522,6.2748,1010,4964,1301,0.537843,8,2874.52439
2012,2,30,Minnesota Wild,82,1771,21.1212,1347,16.0632,561,6.6888,453,5.4,838,4049,1037,0.442709,5,2819.12195
2012,2,12,Carolina Hurricanes,82,1699,20.4336,1239,14.9004,589,7.0812,534,6.4224,1015,4744,1232,0.483204,6,2826.64634
2012,2,1,New Jersey Devils,82,1676,20.0556,928,11.1024,483,5.778,584,6.9876,762,3946,931,0.502586,10,2833.04878
2012,2,22,Edmonton Oilers,82,1632,19.6308,1239,14.904,621,7.47,909,10.9332,875,4090,1029,0.472603,7,2795.12195
2012,2,17,Detroit Red Wings,82,1612,19.3464,972,11.664,526,6.3108,529,6.3468,997,4786,1151,0.548807,6,2796.89024
2012,2,20,Calgary Flames,82,1603,19.2024,1158,13.8708,612,7.3296,770,9.2232,824,4202,1120,0.47401,9,2850.31707
2012,2,28,San Jose Sharks,82,1565,18.7128,1327,15.8652,639,7.6392,772,9.2304,1081,5162,1308,0.518118,7,2891.57317
2012,2,18,Nashville Predators,82,1514,18.2304,1213,14.6052,642,7.7292,600,7.2216,803,4026,962,0.465961,14,2915.82926
2012,2,7,Buffalo Sabres,82,1512,18.1044,1075,12.87,516,6.1776,658,7.8768,893,4447,1157,0.489059,4,2867.37804
2012,2,16,Chicago Blackhawks,82,1500,17.9388,1029,12.3048,774,9.2556,552,6.6024,922,4695,1190,0.529243,13,2874.90243
