season,game_type,player_id,player_name,last_name,team_abbrev,position,shoots,gp,goals,assists,points,points_per_game,plus_minus,pim,shots,shooting_pct,toi_per_game,ev_goals,ev_points,pp_goals,pp_points,sh_goals,sh_points,ot_goals,gw_goals,fo_win_pct
2016,2,8474141,Patrick Kane,Kane,CHI,R,L,82,46,60,106,1.29268,17,30,287,0.16027,1224.6219,29,69,17,37,0,0,1,9,0.21568
2016,2,8473994,Jamie Benn,Benn,DAL,L,L,82,41,48,89,1.08536,7,64,247,0.16599,1201.317,22,54,17,30,2,5,1,5,0.4728
2016,2,8471675,Sidney Crosby,Crosby,PIT,C,L,80,36,49,85,1.0625,19,42,248,0.14516,1228.1625,26,61,10,24,0,0,2,9,0.51704
2016,2,8466138,Joe Thornton,Thornton,SJS,C,L,82,19,63,82,1,25,54,121,0.15702,1101.7439,11,53,8,29,0,0,0,6,0.52988
2016,2,8474578,Erik Karlsson,Karlsson,OTT,D,R,82,16,66,82,1,-2,50,248,0.06451,1738.4756,15,56,1,26,0,0,2,3,0
2016,2,8470794,Joe Pavelski,Pavelski,SJS,C,R,82,38,40,78,0.95121,25,30,224,0.16964,1188.9512,26,50,12,28,0,0,1,11,0.5501
2016,2,8476346,Johnny Gaudreau,Gaudreau,CGY,L,L,79,30,48,78,0.98734,4,20,217,0.13824,1195.8354,24,57,6,21,0,0,3,6,0.4
2016,2,8471218,Blake Wheeler,Wheeler,WPG,R,R,82,26,52,78,0.95121,8,49,256,0.10156,1187.2439,21,57,3,17,2,4,2,5,0.35714
2016,2,8478550,Artemi Panarin,Panarin,CHI,L,R,80,30,47,77,0.9625,8,32,187,0.16042,1111.225,22,53,8,24,0,0,1,7,NA
2016,2,8475744,Evgeny Kuznetsov,Kuznetsov,WSH,C,L,82,20,57,77,0.93902,27,32,193,0.10362,1044.9146,15,59,5,18,0,0,2,4,0.47757
2016,2,8470613,Brent Burns,Burns,SJS,D,R,82,27,48,75,0.91463,-5,53,353,0.07648,1551.8414,19,43,7,30,1,2,1,4,1
2016,2,8475765,Vladimir Tarasenko,Tarasenko,STL,R,L,80,40,34,74,0.925,7,37,292,0.13698,1118.2625,28,50,12,24,0,0,2,7,0
2016,2,8471685,Anze Kopitar,Kopitar,LAK,C,L,81,25,49,74,0.91358,34,16,177,0.14124,1252,19,53,5,18,1,3,4,8,0.5349
2016,2,8475794,Tyler Seguin,Seguin,DAL,C,R,72,33,40,73,1.01388,2,16,278,0.1187,1166.5416,26,49,7,24,0,0,1,6,0.55555
2016,2,8471214,Alex Ovechkin,Ovechkin,WSH,L,R,79,50,21,71,0.89873,21,53,398,0.12562,1218.5063,31,47,19,24,0,0,2,8,NA
2016,2,8475166,John Tavares,Tavares,NYI,C,L,78,33,37,70,0.89743,6,38,250,0.132,1199.6666,26,51,7,19,0,0,0,5,0.54087
2016,2,8473563,Nicklas Backstrom,Backstrom,WSH,C,L,75,20,50,70,0.93333,17,36,129,0.15503,1150.9066,17,40,3,30,0,0,0,4,0.48563
2016,2,8470638,Patrice Bergeron,Bergeron,BOS,C,R,80,32,36,68,0.85,12,49,282,0.11347,1190.0875,19,40,12,25,1,3,0,6,0.57128
2016,2,8473512,Claude Giroux,Giroux,PHI,R,R,78,22,45,67,0.85897,-8,53,241,0.09128,1232.782,15,38,6,27,1,2,2,5,0.57469
2016,2,8471724,Kris Letang,Letang,PIT,D,R,71,16,51,67,0.94366,9,66,218,0.07339,1616.7042,11,37,5,27,0,3,1,2,NA
2016,2,8476453,Nikita Kucherov,Kucherov,TBL,R,L,77,30,36,66,0.85714,9,30,209,0.14354,1092.7402,21,41,9,25,0,0,1,4,0
2016,2,8448208,Jaromir Jagr,Jagr,FLA,R,L,79,27,39,66,0.83544,23,48,143,0.18881,1024.5063,22,55,5,11,0,0,0,4,0
2016,2,8475791,Taylor Hall,Hall,EDM,L,L,82,26,39,65,0.79268,-4,54,286,0.0909,1152.256,22,53,4,12,0,0,1,6,0.35897
2016,2,8474564,Steven Stamkos,Stamkos,TBL,C,R,77,36,28,64,0.83116,3,38,216,0.16666,1185.2727,21,38,14,23,1,3,0,8,0.49946
2016,2,8476887,Filip Forsberg,Forsberg,NSH,L,R,82,33,31,64,0.78048,1,47,247,0.1336,1143.1585,24,40,8,23,1,1,0,3,0.22222
2016,2,8474157,Max Pacioretty,Pacioretty,MTL,L,L,82,30,34,64,0.78048,-10,34,303,0.099,1111.6341,21,46,8,17,1,1,0,6,0.46153
2016,2,8473449,Kyle Okposo,Okposo,NYI,R,R,79,22,42,64,0.81012,-4,51,202,0.10891,1092.3417,15,41,7,23,0,0,2,4,0.36507
2016,2,8469455,Jason Spezza,Spezza,DAL,C,R,75,33,30,63,0.84,4,22,202,0.16336,991.2,24,39,9,24,0,0,0,7,0.54841
2016,2,8470626,Loui Eriksson,Eriksson,BOS,L,L,82,30,33,63,0.76829,13,12,184,0.16304,1168.9024,18,43,10,17,2,3,1,5,0.57142
2016,2,8477497,Sean Monahan,Monahan,CGY,C,L,81,27,36,63,0.77777,-6,18,197,0.13705,1150.1975,20,43,7,20,0,0,1,5,0.51006
2016,2,8471276,David Krejci,Krejci,BOS,C,R,72,17,46,63,0.875,4,32,143,0.11888,1218.0555,13,42,4,18,0,3,0,3,0.50134
2016,2,8470612,Ryan Getzlaf,Getzlaf,ANA,C,R,77,13,50,63,0.81818,14,55,178,0.07303,1170.3506,7,40,6,22,0,1,1,5,0.49384
2016,2,8470621,Corey Perry,Perry,ANA,R,R,82,34,28,62,0.75609,2,68,215,0.15813,1062.4634,22,38,12,24,0,0,0,6,0.2
2016,2,8470604,Jeff Carter,Carter,LAK,C,R,77,24,38,62,0.80519,18,20,242,0.09917,1103.2987,19,48,4,12,1,2,3,6,0.48697
2016,2,8473419,Brad Marchand,Marchand,BOS,L,L,77,37,24,61,0.7922,21,90,250,0.148,1116.0129,27,47,6,8,4,6,2,6,0.375
2016,2,8476460,Mark Scheifele,Scheifele,WPG,C,R,71,29,32,61,0.85915,16,48,194,0.14948,1112.9295,22,50,7,11,0,0,1,3,0.44168
2016,2,8467875,Daniel Sedin,Sedin,VAN,L,L,82,28,33,61,0.7439,7,36,258,0.10852,1100.0243,20,41,8,19,0,1,1,6,0.26315
2016,2,8475692,Mats Zuccarello,Zuccarello,NYR,R,L,81,26,35,61,0.75308,2,34,166,0.15662,1108.5925,19,43,7,18,0,0,1,4,0.45454
2016,2,8475913,Mark Stone,Stone,OTT,R,R,75,23,38,61,0.81333,-4,38,151,0.15231,1206.8133,17,43,5,15,1,3,1,1,0.42105
2016,2,8474600,Roman Josi,Josi,NSH,D,L,81,14,47,61,0.75308,-3,43,198,0.0707,1529.0493,7,35,6,24,1,2,1,3,NA
2016,2,8474190,Wayne Simmonds,Simmonds,PHI,R,R,81,32,28,60,0.74074,-7,147,229,0.13973,1034.0493,19,39,13,21,0,0,0,5,0.71428
2016,2,8475158,Ryan O'Reilly,O'Reilly,BUF,C,L,71,21,39,60,0.84507,-16,8,157,0.13375,1304.0985,12,37,8,22,1,1,1,2,0.56512
2016,2,8469638,Jussi Jokinen,Jokinen,FLA,L,L,81,18,42,60,0.74074,25,42,153,0.11764,1097.4814,12,46,5,12,1,2,0,1,0.51526
2016,2,8475793,Ryan Johansen,Johansen,"CBJ,NSH",C,R,80,14,46,60,0.75,6,61,185,0.07567,1053.7625,10,38,4,22,0,0,0,2,0.52327
2016,2,8475168,Matt Duchene,Duchene,COL,C,L,76,30,29,59,0.77630999999999994,-8,24,200,0.15,1115.4342,22,44,8,15,0,0,0,6,0.57916
2016,2,8474884,Mike Hoffman,Hoffman,OTT,C,L,78,29,30,59,0.75641,1,18,242,0.11983,1052.5897,20,46,9,13,0,0,1,3,0.44444
2016,2,8477493,Aleksander Barkov,Barkov,FLA,C,L,66,28,31,59,0.89393,18,8,171,0.16374,1165.803,18,41,9,16,1,2,0,8,0.49221
