season,game_type,team_id,team_full,gp,wins,losses,ot_losses,ties,points,point_pct,wins_regulation,wins_regulation_ot,wins_shootout,goals_for,goals_against,gf_per_game,ga_per_game,shots_for_per_game,shots_against_per_game,pp_pct,pp_net_pct,pk_pct,pk_net_pct,fo_win_pct,shutouts
2016,2,15,Washington Capitals,82,56,18,8,NA,120,0.7317,45,52,4,248,191,3.02439,2.32926,30.60975,28.43902,0.219123,0.199203,0.851563,0.859375,0.495708,3
2016,2,25,Dallas Stars,82,50,23,9,NA,109,0.66463,42,48,2,265,228,3.2317,2.78048,32,28.91463,0.221374,0.164122,0.822581,0.862903,0.501932,5
2016,2,19,St. Louis Blues,82,49,24,9,NA,107,0.65243,36,44,5,219,197,2.67073,2.40243,30.17073,29.7439,0.215189,0.194092,0.85145,0.865942,0.512621,10
2016,2,5,Pittsburgh Penguins,82,48,26,8,NA,104,0.63414,38,44,4,241,199,2.93902,2.42682,33.19512,29.70731,0.183908,0.16475,0.844358,0.887159,0.501644,6
2016,2,24,Anaheim Ducks,82,46,25,11,NA,103,0.62804,39,43,3,215,188,2.62195,2.29268,30.28048,27.53658,0.231404,0.219008,0.872414,0.896551,0.51945,8
2016,2,16,Chicago Blackhawks,82,47,26,9,NA,103,0.62804,36,46,1,234,207,2.85365,2.52439,30.46341,30.80487,0.22619,0.214285,0.802576,0.845493,0.492549,8
2016,2,13,Florida Panthers,82,47,26,9,NA,103,0.62804,39,40,7,232,200,2.82926,2.43902,28.75609,29.5,0.169064,0.151079,0.794777,0.813432,0.500786,4
2016,2,26,Los Angeles Kings,82,48,28,6,NA,102,0.62195,34,46,2,223,192,2.71951,2.34146,32.01219,27.4878,0.2,0.187234,0.814036,0.831578,0.505082,7
2016,2,3,New York Rangers,82,46,27,9,NA,101,0.61585,39,43,3,233,215,2.84146,2.62195,28.4878,30.41463,0.18584,0.163716,0.781894,0.794238,0.491813,5
2016,2,2,New York Islanders,82,45,27,10,NA,100,0.60975,34,40,5,227,211,2.76829,2.57317,29.41463,30.42682,0.183406,0.157205,0.844828,0.875,0.500859,4
2016,2,28,San Jose Sharks,82,46,30,6,NA,98,0.59756,37,42,4,237,207,2.89024,2.52439,30.37804,27.37804,0.225454,0.2,0.805085,0.830508,0.506972,9
2016,2,14,Tampa Bay Lightning,82,46,31,5,NA,97,0.59146,36,43,3,224,198,2.7317,2.41463,29.29268,28.85365,0.157706,0.132616,0.840467,0.867704,0.494888,7
2016,2,18,Nashville Predators,82,41,27,14,NA,96,0.58536,35,37,4,224,213,2.7317,2.59756,30.57317,27.34146,0.196911,0.189189,0.812245,0.840816,0.486944,6
2016,2,4,Philadelphia Flyers,82,41,27,14,NA,96,0.58536,28,38,3,211,210,2.57317,2.56097,30.9756,30.71951,0.189285,0.160714,0.805344,0.816793,0.509977,7
2016,2,17,Detroit Red Wings,82,41,30,11,NA,93,0.56707,30,39,2,209,219,2.54878,2.67073,29.65853,29.7439,0.187969,0.172932,0.815499,0.822878,0.505225,6
2016,2,6,Boston Bruins,82,42,31,9,NA,93,0.56707,33,38,4,236,228,2.87804,2.78048,31.95121,30.36585,0.205128,0.188034,0.822223,0.855555,0.50428,5
2016,2,30,Minnesota Wild,82,38,33,11,NA,87,0.53048,34,35,3,213,204,2.59756,2.4878,28.95121,28.62195,0.185328,0.162162,0.779412,0.813725,0.525238,8
2016,2,12,Carolina Hurricanes,82,35,31,16,NA,86,0.52439,25,33,2,196,221,2.39024,2.69512,29.89024,27.57317,0.168067,0.147058,0.843138,0.857843,0.536694,3
2016,2,9,Ottawa Senators,82,38,35,9,NA,85,0.51829,26,32,6,230,241,2.80487,2.93902,28.35365,32.78048,0.158333,0.145833,0.757937,0.825396,0.505518,5
2016,2,1,New Jersey Devils,82,38,36,8,NA,84,0.51219,27,36,2,182,202,2.21951,2.46341,24.42682,28.64634,0.199218,0.167968,0.829546,0.848484,0.464369,7
2016,2,21,Colorado Avalanche,82,39,39,4,NA,82,0.5,33,35,4,212,240,2.58536,2.92682,28.63414,32.30487,0.180451,0.146616,0.802326,0.829457,0.498536,5
2016,2,8,Montréal Canadiens,82,38,38,6,NA,82,0.5,30,33,5,216,233,2.63414,2.84146,30.53658,29.36585,0.162162,0.119691,0.818898,0.850393,0.50336,3
2016,2,7,Buffalo Sabres,82,35,36,11,NA,81,0.4939,29,33,2,199,215,2.42682,2.62195,29.4878,30.62195,0.188976,0.165354,0.825689,0.853211,0.493794,2
2016,2,53,Arizona Coyotes,82,35,39,8,NA,78,0.4756,29,34,1,208,244,2.53658,2.9756,27.62195,30.96341,0.176666,0.13,0.773027,0.786184,0.54693,5
2016,2,52,Winnipeg Jets,82,35,39,8,NA,78,0.4756,29,32,3,212,236,2.58536,2.87804,29.59756,29.54878,0.147859,0.132295,0.783688,0.819148,0.467384,3
2016,2,20,Calgary Flames,82,35,40,7,NA,77,0.46951,24,33,2,229,257,2.79268,3.13414,29.2439,28.9878,0.17037,0.144444,0.755365,0.798283,0.48599,3
2016,2,29,Columbus Blue Jackets,82,34,40,8,NA,76,0.46341,26,28,6,213,248,2.59756,3.02439,29.10975,31.09756,0.173387,0.141129,0.810036,0.820788,0.489986,1
2016,2,23,Vancouver Canucks,82,31,38,13,NA,75,0.45731,22,26,5,186,239,2.26829,2.91463,28.18292,32.53658,0.157894,0.125506,0.811245,0.827309,0.454415,1
2016,2,22,Edmonton Oilers,82,31,43,8,NA,70,0.42682,20,27,4,199,242,2.42682,2.95121,29.09756,31.07317,0.181434,0.156118,0.811024,0.830708,0.487946,3
2016,2,10,Toronto Maple Leafs,82,29,42,11,NA,69,0.42073,20,23,6,192,240,2.34146,2.92682,30.67073,30.52439,0.15444,0.123552,0.816177,0.827205,0.505895,4
