season,game_type,player_id,player_name,last_name,team_abbrev,shoots_catches,gp,gs,wins,losses,ot_losses,ties,goals_against,gaa,saves,shots_against,sv_pct,shutouts,toi_sec,goals,assists,points,pim
2017,2,8474651,Braden Holtby,Holtby,WSH,L,63,63,42,13,6,NA,127,2.07055,1563,1690,0.92485,9,220810,0,0,0,0
2017,2,8475660,Cam Talbot,Talbot,EDM,L,73,73,42,22,8,NA,171,2.38938,1946,2117,0.91922,7,257640,0,0,0,4
2017,2,8475683,Sergei Bobrovsky,Bobrovsky,CBJ,L,63,63,41,17,5,NA,127,2.05553,1727,1854,0.93149,7,222424,0,0,0,8
2017,2,8471227,Devan Dubnyk,Dubnyk,MIN,L,65,63,40,19,5,NA,141,2.25119,1701,1842,0.92345,5,225480,0,0,0,10
2017,2,8471679,Carey Price,Price,MTL,L,62,62,37,20,5,NA,138,2.23292,1656,1794,0.92307,3,222488,0,1,1,4
2017,2,8471695,Tuukka Rask,Rask,BOS,L,65,64,37,20,5,NA,137,2.23394,1473,1610,0.9149,8,220775,0,2,2,0
2017,2,8474889,Martin Jones,Jones,SJS,L,65,65,35,23,6,NA,152,2.39977,1573,1725,0.91188,2,228021,0,0,0,0
2017,2,8474596,Jake Allen,Allen,STL,L,61,60,33,20,5,NA,138,2.42224,1482,1620,0.91481,4,205099,0,1,1,4
2017,2,8475883,Frederik Andersen,Andersen,TOR,L,66,66,33,16,14,NA,169,2.66888,1883,2052,0.91764,4,227960,0,1,1,16
2017,2,8470645,Corey Crawford,Crawford,CHI,L,55,55,32,18,4,NA,138,2.55015,1553,1691,0.91839,2,194812,0,1,1,2
2017,2,8476899,Matt Murray,Murray,PIT,L,49,47,32,10,4,NA,111,2.40798,1339,1450,0.92344,4,165948,0,2,2,0
2017,2,8468685,Henrik Lundqvist,Lundqvist,NYR,L,57,55,31,20,4,NA,148,2.74037,1502,1650,0.9103,2,194426,0,1,1,0
2017,2,8471469,Pekka Rinne,Rinne,NSH,L,61,61,31,19,9,NA,144,2.42167,1613,1757,0.91804,3,214067,0,0,0,4
2017,2,8469514,Peter Budaj,Budaj,"LAK,TBL",L,60,55,30,21,3,NA,120,2.17636,1294,1414,0.91513,7,198496,0,1,1,0
2017,2,8470320,Cam Ward,Ward,CAR,L,61,61,26,22,12,NA,162,2.68662,1549,1711,0.90531,2,217075,0,1,1,6
2017,2,8470880,Brian Elliott,Elliott,CGY,L,49,45,26,18,3,NA,121,2.55236,1217,1338,0.90956,2,170665,0,0,0,4
2017,2,8471306,Thomas Greiss,Greiss,NYI,L,51,49,26,18,5,NA,126,2.68725,1327,1453,0.91328,3,168797,0,1,1,0
2017,2,8473461,Steve Mason,Mason,PHI,R,58,54,26,21,8,NA,143,2.66078,1413,1556,0.90809,3,193477,0,1,1,0
2017,2,8476945,Connor Hellebuyck,Hellebuyck,WPG,L,56,53,26,19,4,NA,146,2.88773,1426,1572,0.90712,4,182011,0,0,0,0
2017,2,8467950,Craig Anderson,Anderson,OTT,L,40,40,25,11,4,NA,92,2.27975,1155,1247,0.92622,5,145279,0,1,1,0
2017,2,8476434,John Gibson,Gibson,ANA,L,52,49,25,16,9,NA,109,2.21668,1328,1437,0.92414,6,177021,0,1,1,4
2017,2,8475215,Robin Lehner,Lehner,BUF,L,59,58,23,26,8,NA,152,2.67804,1758,1910,0.92041,2,204328,0,1,1,6
2017,2,8476883,Andrei Vasilevskiy,Vasilevskiy,TBL,L,50,47,23,17,7,NA,123,2.6066,1357,1480,0.91689,2,169876,0,2,2,2
2017,2,8470140,Kari Lehtonen,Lehtonen,DAL,L,59,52,22,25,7,NA,151,2.85161,1395,1546,0.90232,3,190629,0,1,1,4
2017,2,8473541,Jonathan Bernier,Bernier,ANA,L,39,33,21,7,4,NA,83,2.49851,899,982,0.91547,2,119591,0,0,0,4
2017,2,8471239,Cory Schneider,Schneider,NJD,L,60,59,20,27,11,NA,163,2.81614,1618,1781,0.90847,2,208370,0,0,0,0
2017,2,8469608,Mike Smith,Smith,ARI,L,55,55,19,26,9,NA,156,2.92305,1663,1819,0.91423,3,192128,0,0,0,14
2017,2,8477237,Mike Condon,Condon,"PIT,OTT",L,41,38,19,14,6,NA,96,2.47804,1026,1122,0.91443,5,139465,0,0,0,4
2017,2,8468011,Ryan Miller,Miller,VAN,L,54,54,18,29,6,NA,150,2.80212,1587,1737,0.91364,3,192711,0,1,1,22
2017,2,8470594,Marc-Andre Fleury,Fleury,PIT,L,38,34,18,10,7,NA,107,3.02082,1074,1181,0.90939,1,127515,0,0,0,6
2017,2,8471750,Ben Bishop,Bishop,"TBL,LAK",L,39,37,18,15,5,NA,94,2.53754,946,1040,0.90961,1,133357,0,0,0,10
2017,2,8473434,Chad Johnson,Johnson,CGY,L,36,36,18,15,1,NA,87,2.59288,882,969,0.91021,3,120792,0,0,0,0
2017,2,8473503,James Reimer,Reimer,FLA,L,43,39,18,16,5,NA,98,2.52948,1124,1222,0.9198,3,139475,0,0,0,2
2017,2,8474152,Scott Darling,Darling,CHI,L,32,27,18,5,5,NA,67,2.38069,810,877,0.9236,2,101315,0,0,0,0
2017,2,8475852,Petr Mrazek,Mrazek,DET,L,50,44,18,21,9,NA,145,3.0446,1317,1462,0.90082,1,171451,0,0,0,2
2017,2,8466141,Roberto Luongo,Luongo,FLA,L,40,39,17,15,6,NA,104,2.68137,1113,1217,0.91454,1,139630,0,1,1,4
2017,2,8477293,Antti Raanta,Raanta,NYR,L,30,26,16,8,2,NA,61,2.26298,721,782,0.92199,4,97040,0,1,1,0
2017,2,8475717,Calvin Pickard,Pickard,COL,L,50,48,15,31,2,NA,140,2.97844,1321,1461,0.90417,2,169216,0,2,2,2
2017,2,8475622,Carter Hutton,Hutton,STL,L,30,21,13,8,2,NA,58,2.38511,605,663,0.91251,4,87543,0,1,1,4
