season,game_type,game_id,game_date,home_full,away_abbrev,home_score,away_score,period_type
2025,2,2024020001,2024-10-04,Buffalo Sabres,NJD,1,4,REG
2025,2,2024020002,2024-10-05,New Jersey Devils,BUF,3,1,REG
2025,2,2024020004,2024-10-08,Florida Panthers,BOS,6,4,REG
2025,2,2024020005,2024-10-08,Utah Hockey Club,CHI,5,2,REG
2025,2,2024020003,2024-10-08,Seattle Kraken,STL,2,3,REG
2025,2,2024020009,2024-10-09,Vancouver Canucks,CGY,5,6,REG
2025,2,2024020010,2024-10-09,Vegas Golden Knights,COL,8,4,REG
2025,2,2024020007,2024-10-09,Pittsburgh Penguins,NYR,0,6,REG
2025,2,2024020006,2024-10-09,Montréal Canadiens,TOR,1,0,REG
2025,2,2024020008,2024-10-09,Edmonton Oilers,WPG,0,6,REG
2025,2,2024020011,2024-10-10,Boston Bruins,MTL,6,4,REG
2025,2,2024020012,2024-10-10,Buffalo Sabres,LAK,1,3,REG
2025,2,2024020019,2024-10-10,San Jose Sharks,STL,4,5,REG
2025,2,2024020013,2024-10-10,Ottawa Senators,FLA,3,1,REG
2025,2,2024020018,2024-10-10,Minnesota Wild,CBJ,3,2,REG
2025,2,2024020015,2024-10-10,New Jersey Devils,TOR,2,4,REG
2025,2,2024020016,2024-10-10,New York Islanders,UTA,4,5,REG
2025,2,2024020017,2024-10-10,Nashville Predators,DAL,3,4,REG
2025,2,2024020014,2024-10-10,Detroit Red Wings,PIT,3,6,REG
2025,2,2024020022,2024-10-11,Vancouver Canucks,PHI,2,2,REG
2025,2,2024020023,2024-10-11,Vegas Golden Knights,STL,4,3,REG
2025,2,2024020020,2024-10-11,Carolina Hurricanes,TBL,1,4,REG
2025,2,2024020021,2024-10-11,Winnipeg Jets,CHI,2,1,REG
2025,2,2024020025,2024-10-12,Buffalo Sabres,FLA,5,2,REG
2025,2,2024020026,2024-10-12,Toronto Maple Leafs,PIT,4,2,REG
2025,2,2024020032,2024-10-12,Dallas Stars,NYI,3,0,REG
2025,2,2024020031,2024-10-12,Washington Capitals,NJD,3,5,REG
2025,2,2024020024,2024-10-12,Boston Bruins,LAK,2,1,REG
2025,2,2024020028,2024-10-12,Detroit Red Wings,NSH,3,0,REG
2025,2,2024020030,2024-10-12,New York Rangers,UTA,5,6,REG
2025,2,2024020033,2024-10-12,Minnesota Wild,SEA,4,4,REG
2025,2,2024020037,2024-10-12,San Jose Sharks,ANA,0,2,REG
2025,2,2024020036,2024-10-12,Edmonton Oilers,CHI,2,5,REG
2025,2,2024020034,2024-10-12,Colorado Avalanche,CBJ,4,6,REG
2025,2,2024020035,2024-10-12,Calgary Flames,PHI,6,3,REG
2025,2,2024020027,2024-10-12,Montréal Canadiens,OTT,4,1,REG
2025,2,2024020039,2024-10-13,Dallas Stars,SEA,2,0,REG
2025,2,2024020041,2024-10-13,Vegas Golden Knights,ANA,3,1,REG
2025,2,2024020040,2024-10-13,Edmonton Oilers,CGY,1,4,REG
2025,2,2024020038,2024-10-13,Winnipeg Jets,MIN,2,1,REG
2025,2,2024020047,2024-10-14,Colorado Avalanche,NYI,2,6,REG
2025,2,2024020042,2024-10-14,Boston Bruins,FLA,3,4,REG
2025,2,2024020043,2024-10-14,Ottawa Senators,LAK,8,7,REG
2025,2,2024020046,2024-10-14,Montréal Canadiens,PIT,3,6,REG
2025,2,2024020045,2024-10-14,New York Rangers,DET,4,1,REG
2025,2,2024020044,2024-10-14,New Jersey Devils,UTA,3,0,REG
2025,2,2024020048,2024-10-15,Tampa Bay Lightning,VAN,4,1,REG
2025,2,2024020050,2024-10-15,Carolina Hurricanes,NJD,4,2,REG
2025,2,2024020052,2024-10-15,St. Louis Blues,MIN,1,4,REG
2025,2,2024020056,2024-10-15,Edmonton Oilers,PHI,4,3,REG
2025,2,2024020053,2024-10-15,Nashville Predators,SEA,3,7,REG
2025,2,2024020055,2024-10-15,Calgary Flames,CHI,3,1,REG
2025,2,2024020051,2024-10-15,Columbus Blue Jackets,FLA,3,4,REG
2025,2,2024020054,2024-10-15,Dallas Stars,SJS,2,2,REG
2025,2,2024020049,2024-10-15,Washington Capitals,VGK,4,2,REG
2025,2,2024020060,2024-10-16,Anaheim Ducks,UTA,5,4,REG
2025,2,2024020059,2024-10-16,Colorado Avalanche,BOS,3,5,REG
2025,2,2024020057,2024-10-16,Pittsburgh Penguins,BUF,6,5,REG
2025,2,2024020058,2024-10-16,Toronto Maple Leafs,LAK,6,2,REG
2025,2,2024020070,2024-10-17,Chicago Blackhawks,SJS,4,2,REG
