season,game_type,player_id,player_name,last_name,team_abbrev,shoots_catches,gp,gs,wins,losses,ot_losses,ties,goals_against,gaa,saves,shots_against,sv_pct,shutouts,toi_sec,goals,assists,points,pim
2025,2,8476945,Connor Hellebuyck,Hellebuyck,WPG,L,63,62,47,12,3,NA,125,2.00461,1539,1664,0.92487,8,224482,0,1,1,2
2025,2,8476883,Andrei Vasilevskiy,Vasilevskiy,TBL,L,63,63,38,20,5,NA,136,2.18002,1581,1716,0.92132,6,224585,0,2,2,8
2025,2,8479979,Jake Oettinger,Oettinger,DAL,L,58,58,36,18,4,NA,147,2.58645,1464,1611,0.90875,2,204604,0,1,1,0
2025,2,8475683,Sergei Bobrovsky,Bobrovsky,FLA,L,54,54,33,19,2,NA,130,2.43751,1247,1377,0.90559,5,191999,0,1,1,4
2025,2,8478499,Adin Hill,Hill,VGK,L,50,50,32,13,5,NA,121,2.4692,1172,1293,0.90641,4,176413,0,0,0,4
2025,2,8475311,Darcy Kuemper,Kuemper,LAK,L,50,50,31,11,7,NA,100,2.01772,1168,1267,0.92186,5,178419,0,1,1,12
2025,2,8478470,Samuel Montembeault,Montembeault,MTL,L,62,60,31,24,7,NA,166,2.81834,1513,1678,0.90166,4,212039,0,1,1,0
2025,2,8479406,Filip Gustavsson,Gustavsson,MIN,L,58,58,31,19,6,NA,146,2.55872,1547,1693,0.91376,5,205415,1,1,2,0
2025,2,8480313,Logan Thompson,Thompson,WSH,R,43,42,31,6,6,NA,105,2.48506,1067,1172,0.9104,2,152109,0,1,1,0
2025,2,8478009,Ilya Sorokin,Sorokin,NYI,L,61,60,30,24,6,NA,158,2.70946,1538,1695,0.90737,4,209931,1,2,3,2
2025,2,8481692,Dustin Wolf,Wolf,CGY,L,53,53,29,16,8,NA,140,2.63954,1409,1549,0.90961,3,190942,0,3,3,2
2025,2,8476412,Jordan Binnington,Binnington,STL,L,56,54,28,22,5,NA,145,2.68602,1312,1457,0.90048,3,194339,0,0,0,6
2025,2,8478406,Mackenzie Blackwood,Blackwood,"SJS,COL",L,56,53,28,21,6,NA,137,2.54991,1413,1549,0.9122,4,193418,0,1,1,2
2025,2,8478048,Igor Shesterkin,Shesterkin,NYR,L,61,61,27,29,5,NA,167,2.85866,1584,1751,0.90462,6,210308,0,0,0,6
2025,2,8478916,Joey Daccord,Daccord,SEA,L,57,55,27,23,5,NA,151,2.74941,1449,1599,0.90619,2,197715,0,2,2,0
2025,2,8479361,Joseph Woll,Woll,TOR,L,42,41,27,14,1,NA,111,2.7269,1105,1216,0.90871,1,146540,0,0,0,0
2025,2,8481611,Pyotr Kochetkov,Kochetkov,CAR,L,47,47,27,16,3,NA,121,2.60149,1052,1172,0.89761,2,167442,0,3,3,8
2025,2,8474593,Jacob Markstrom,Markstrom,NJD,L,49,49,26,16,6,NA,121,2.50084,1093,1214,0.90032,4,174181,0,0,0,0
2025,2,8478007,Elvis Merzlikins,Merzlikins,CBJ,L,53,52,26,21,5,NA,168,3.17889,1389,1557,0.8921,1,190255,0,1,1,8
2025,2,8478872,Karel Vejmelka,Vejmelka,UTA,R,58,55,26,22,8,NA,145,2.5828700000000002,1364,1509,0.9039,1,202100,0,1,1,0
2025,2,8479973,Stuart Skinner,Skinner,EDM,L,51,50,26,18,4,NA,138,2.81398,1187,1325,0.89584,3,176547,0,0,0,0
2025,2,8476999,Linus Ullmark,Ullmark,OTT,L,44,43,25,14,3,NA,112,2.72364,1118,1229,0.90968,4,148037,0,2,2,0
2025,2,8480947,Kevin Lankinen,Lankinen,VAN,L,51,49,25,15,10,NA,132,2.6227,1213,1345,0.90185,4,181187,0,1,1,0
2025,2,8480045,Ukko-Pekka Luukkonen,Luukkonen,BUF,L,55,55,24,24,5,NA,169,3.1965,1321,1490,0.88657,2,190333,0,1,1,2
2025,2,8480843,Lukas Dostal,Dostal,ANA,L,54,49,23,23,7,NA,158,3.10042,1467,1625,0.90276,1,183459,0,0,0,0
2025,2,8475717,Calvin Pickard,Pickard,EDM,L,36,31,22,10,1,NA,85,2.71029,764,849,0.89988,0,112903,0,1,1,0
2025,2,8480280,Jeremy Swayman,Swayman,BOS,L,58,58,22,29,7,NA,176,3.1145,1456,1632,0.89215,4,203435,0,0,0,2
2025,2,8481035,Samuel Ersson,Ersson,PHI,L,47,45,22,17,5,NA,136,3.13631,1026,1162,0.88296,2,156107,0,0,0,2
2025,2,8475660,Cam Talbot,Talbot,DET,L,47,43,21,19,5,NA,129,2.92941,1167,1295,0.90115,2,158530,0,0,0,0
2025,2,8476932,Anthony Stolarz,Stolarz,TOR,L,34,33,21,8,3,NA,71,2.14404,884,955,0.92565,4,119214,0,1,1,0
2025,2,8477424,Juuse Saros,Saros,NSH,L,58,58,20,31,6,NA,167,2.98408,1426,1592,0.89572,4,201469,0,1,1,4
