season,game_type,team_id,team_full,gp,hits,hits_per60,blocked_shots,blocked_shots_per60,takeaways,takeaways_per60,giveaways,giveaways_per60,missed_shots,total_shot_attempts,shot_attempts_blocked,corsi_pct,empty_net_goals,toi_per_game_5v5
2026,2,3,New York Rangers,82,2112,25.47,1176,14.1804,366,4.4136,1190,14.3496,1241,4636,1331,0.486457,12,2952.67073
2026,2,13,Florida Panthers,82,2024,24.4188,992,11.9664,343,4.1364,1129,13.6188,1345,4997,1357,0.518737,14,2839.18292
2026,2,9,Ottawa Senators,82,1953,23.5908,1101,13.298400000000001,413,4.986,1130,13.6476,1242,4874,1261,0.525612,19,2872.03658
2026,2,4,Philadelphia Flyers,82,1882,22.4604,1237,14.76,349,4.1616,1191,14.2128,1112,4339,1139,0.475971,21,2910.36585
2026,2,10,Toronto Maple Leafs,82,1870,22.4532,1239,14.8752,378,4.536,1298,15.5844,1114,4355,1082,0.454674,19,2951.06097
2026,2,6,Boston Bruins,82,1861,22.3668,1242,14.9256,376,4.518,1306,15.696,1261,4758,1281,0.490277,15,2881.15853
2026,2,8,Montréal Canadiens,82,1810,21.6864,1331,15.948,364,4.3596,1094,13.1076,1236,4602,1210,0.48242,15,2867.90243
2026,2,19,St. Louis Blues,82,1796,21.6504,1116,13.4532,358,4.3128,1138,13.716,1013,4261,1171,0.483395,13,2958.84146
2026,2,28,San Jose Sharks,82,1794,21.618,1204,14.508,375,4.518,1298,15.642,1012,4371,1247,0.469721,12,2891.36585
2026,2,52,Winnipeg Jets,82,1776,21.4128,1121,13.5144,330,3.978,1161,13.9968,1188,4505,1155,0.48956,13,2943.89024
2026,2,30,Minnesota Wild,82,1742,20.862,1268,15.1848,374,4.4784,1181,14.1408,1265,4896,1238,0.484722,18,2944.91463
2026,2,23,Vancouver Canucks,82,1739,20.898,1108,13.3164,364,4.374,1249,15.0084,1216,4530,1185,0.469019,8,2941.68292
2026,2,24,Anaheim Ducks,82,1718,20.5704,1181,14.1408,416,4.9788,1240,14.8464,1419,5325,1380,0.521722,15,2861.81707
2026,2,54,Vegas Golden Knights,82,1713,20.4912,1179,14.1012,363,4.3416,1292,15.4548,1217,4930,1336,0.523085,9,2985.45121
2026,2,20,Calgary Flames,82,1660,20.0196,1235,14.8932,371,4.4712,1310,15.7968,1110,4787,1372,0.491943,13,2909
2026,2,26,Los Angeles Kings,82,1650,19.6884,1199,14.3064,367,4.3776,1255,14.976,1326,5103,1480,0.520812,10,2952.86585
2026,2,14,Tampa Bay Lightning,82,1642,19.818,1006,12.1392,336,4.0536,1203,14.5188,1264,4887,1318,0.530219,23,2857.75609
2026,2,12,Carolina Hurricanes,82,1635,19.6308,928,11.142,470,5.6412,1260,15.1272,1529,5748,1582,0.59125,17,2924.20731
2026,2,15,Washington Capitals,82,1615,19.4616,1307,15.75,373,4.4928,1212,14.6052,1253,4814,1262,0.495283,25,2881.57317
2026,2,2,New York Islanders,82,1599,19.2312,1185,14.2524,368,4.4244,1156,13.9032,1216,4787,1262,0.490097,7,2894.41463
2026,2,68,Utah Mammoth,82,1580,19.1592,1117,13.5468,353,4.2804,1313,15.9228,1278,4910,1360,0.528732,19,2915.28048
2026,2,29,Columbus Blue Jackets,82,1577,18.9144,1195,14.3316,413,4.9536,1244,14.9184,1189,4976,1378,0.510646,16,2970.64634
2026,2,18,Nashville Predators,82,1576,18.954,1005,12.0852,425,5.1084,1201,14.4432,1208,4807,1314,0.494522,16,2885.4878
2026,2,7,Buffalo Sabres,82,1575,19.0188,1167,14.094,413,4.986,1222,14.7564,1228,4685,1151,0.495622,27,2889.26829
2026,2,25,Dallas Stars,82,1553,18.6336,1222,14.6628,382,4.5828,1171,14.0508,996,4201,1131,0.471384,11,2895.2439
2026,2,22,Edmonton Oilers,82,1545,18.648,1198,14.4612,345,4.1616,1241,14.9796,1161,4802,1203,0.502359,17,2995.37804
2026,2,55,Seattle Kraken,82,1517,18.234,1279,15.3756,392,4.7124,1188,14.2812,1139,4384,1150,0.459738,17,2984.01219
2026,2,1,New Jersey Devils,82,1514,18.2592,1131,13.6404,380,4.5828,1282,15.462,1234,5018,1358,0.512928,18,2991.79268
2026,2,17,Detroit Red Wings,82,1480,17.8344,1304,15.714,364,4.3848,1189,14.328,1258,4839,1265,0.491915,21,2927.36585
2026,2,5,Pittsburgh Penguins,82,1444,17.3124,1204,14.436,406,4.8672,1306,15.66,1260,4877,1274,0.501877,16,2933.60975
2026,2,21,Colorado Avalanche,82,1360,16.3692,1039,12.5028,369,4.4388,1273,15.3216,1373,5707,1568,0.564121,23,2883.86585
2026,2,16,Chicago Blackhawks,82,1346,16.1892,1020,12.2688,403,4.8456,1257,15.12,1114,4181,1052,0.459724,9,2934.89024
